File,Key,Value,Translation
MonsterMashup/contract_override/Assassinate_OverlordFight.json,contractObjectiveList[0].description,"Destroy the Target, clear area of additional forces Enemies, and Escape","표적을 파괴하고, 지역의 추가 적 병력을 정리한 뒤 탈출하십시오"
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[0].dialogueContent[0].words,"We've got the DropShip pegged to this location, Commander.","드롭십 위치는 이곳으로 특정해 두었습니다, 사령관님."
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[0].dialogueContent[1].words,Engage the Overlord and take it down.,오버로드와 교전하여 격추하십시오.
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[0].dialogueContent[2].words,"Keep an eye out though, the Overlord's already deployed some of its mech forces and they'll be sure to defend the ship. Be careful. Oliveira out.","하지만 경계를 늦추지 마십시오. 오버로드는 이미 메크 전력 일부를 전개했고, 놈들은 분명 함선을 방어할 것입니다. 조심하십시오. 올리베이라, 이상입니다."
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[1].dialogueContent[0].words,"Well done, Commander, it's not every day you take down a DropShip from the ground like this.","잘하셨습니다, 사령관님. 지상에서 이런 식으로 드롭십을 격추하는 일은 흔치 않습니다."
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[2].dialogueContent[0].words,"We were outgunned and outnumbered. Not a good showing, Commander.","저희는 화력도 밀렸고 수적으로도 열세였습니다. 좋은 모습은 아니었습니다, 사령관님."
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[3].dialogueContent[0].words,That was a hell of a fight. Head for the designated LZ and let's get out of here.,정말 지옥 같은 전투였군요. 지정된 LZ로 향해서 여기서 빠져나가겠습니다.
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[4].dialogueContent[0].words,Readings indicate the ambushing units are out of commission. The employer will be pleased. ,"감지 결과, 매복하던 유닛들은 전투 불능 상태입니다. 고용주는 만족할 것입니다."
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[5].dialogueContent[0].words,"That's it, bring the Overlord down!","끝입니다, 오버로드를 격추시키십시오!"
MonsterMashup/contract_override/Assassinate_OverlordFight.json,dialogueList[6].dialogueContent[0].words,"Sensors are showing enemy movement beyond our initial count. Be advised, the reinforcements are in-bound.",센서에 초기 집계보다 많은 적 움직임이 포착되고 있습니다. 적 증원군이 접근 중이니 유의하십시오.
