File,Key,Value,Translation
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_archer_ARC-3B.json,Description.Details,"The Archer. One of the most famous BattleMechs in history. A mainstay of every Inner Sphere army, the Archer also came to the Sanctuary Worlds and serves in their armies, same as the Inner Sphere. The Archer ARC-3B is an unusual twist on indirect fire support. Armed with a brace of Bombard Cannons (twin 12-tube launchers and four 3-tube launchers), the -3B brings an unusual bent to the typically missile-focused Archer. Up close, only 2 Twin-Linked Lasers provide support. 7 tons of SHIELD protected ammo keep the Bombards firing while plentiful Heat Controllers and Negators try to manage the heat produced.","아처. 역사상 가장 유명한 배틀메크 중 하나입니다. 모든 이너스피어 군대의 주력 기체인 아처는 생츄어리 월드에도 전해져, 이너스피어와 마찬가지로 그들의 군대에서 운용되고 있습니다. 아처 ARC-3B는 간접 화력 지원형에 기묘한 변주를 가한 기체입니다. 봄바드 캐논 한 쌍(12연장 발사기 2기와 3연장 발사기 4기)으로 무장한 -3B는 통상적으로 미사일 중심인 아처에 이례적인 방향성을 부여합니다. 근거리에서는 트윈-링크드 레이저 2문만이 지원 화력을 제공합니다. SHIELD로 보호된 탄약 7톤은 봄바드의 지속 사격을 가능하게 하고, 풍부하게 탑재된 히트 컨트롤러와 네게이터는 그 과정에서 발생하는 열을 관리하려 합니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_archer_ARC-3M.json,Description.Details,"The Archer. One of the most famous BattleMechs in history. A mainstay of every Inner Sphere army, the Archer also came to the Sanctuary Worlds and serves in their armies, same as the Inner Sphere. The Archer ARC-3M carries an almost purely missile loadout. Armed with twin VRM-18s and quad DRM-4s, the ARC-3M is quite capable of devastating enemies at long and short range alike. However, it is heavily ammunition dependent even though it does have a pair of Small Electro-Lasers as ammo-free firepower. Still, the power of the mech is often worth the trade-offs to Sanctuary commanders and the variant remains popular.","아처. 역사상 가장 유명한 배틀메크 중 하나입니다. 이너스피어의 모든 군대에서 주력 기체로 활약해 온 아처는 생츄어리 월드에도 전해져, 이너스피어와 마찬가지로 그들의 군대에서 운용되고 있습니다. 아처 ARC-3M은 거의 순수하게 미사일로 구성된 무장을 탑재하고 있습니다. 쌍열 VRM-18과 4문의 DRM-4로 무장한 ARC-3M은 장거리와 단거리 모두에서 적에게 치명적인 타격을 가할 수 있습니다. 하지만 탄약에 대한 의존도가 매우 높으며, 탄약이 들지 않는 화력으로 소형 일렉트로-레이저 한 쌍을 갖추고 있긴 해도 그 약점은 여전합니다. 그럼에도 이 메크의 화력은 그러한 대가를 감수할 만한 가치가 있는 경우가 많아, 생츄어리 지휘관들 사이에서 이 파생형은 여전히 인기가 높습니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_archer_ARC-3R.json,Description.Details,"The Archer. One of the most famous BattleMechs in history. A mainstay of every Inner Sphere army, the Archer also came to the Sanctuary Worlds and serves in their armies, same as the Inner Sphere. The Archer ARC-3R is the Sanctuary standard, armed with twin VRM-24s and two each Medium Electro-Lasers and Twin-Linked Small Lasers. With 6 tons of SHIELD protected ammo, the VRMs rarely run dry. The Archer ARC-3R serves nobly in Sanctuary armies to this very day.","아처. 역사상 가장 유명한 배틀메크 중 하나입니다. 이너스피어의 모든 군대에서 주력으로 운용되는 기체이며, 아처는 생츄어리 월드에도 전해져 이너스피어와 마찬가지로 그들의 군대에서 복무하고 있습니다. 아처 ARC-3R은 생츄어리의 표준형으로, 쌍열 VRM-24와 미디엄 일렉트로-레이저 2문, 트윈 링크드 스몰 레이저 2문으로 무장하고 있습니다. SHIELD로 보호되는 6톤의 탄약 덕분에 VRM은 탄이 바닥나는 일이 거의 없습니다. 아처 ARC-3R은 오늘날까지도 생츄어리 군대에서 고귀하게 복무하고 있습니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_archer_ARC-3S.json,Description.Details,"The Archer. One of the most famous BattleMechs in history. A mainstay of every Inner Sphere army, the Archer also came to the Sanctuary Worlds and serves in their armies, same as the Inner Sphere. The Archer ARC-3S carries the biggest missile weapon in the Sanctuary Worlds arsenal, the Sirocco artillery system. Armed exclusively with two Siroccos, the -3S only can provide artillery support but it provides it extremely well. 6 tons of ammo keep the weapons firing at all times, while 13 Sanctuary DHS try (and fail) to keep the weapons cold.","아처. 역사상 가장 유명한 배틀메크 중 하나입니다. 이너스피어 모든 군대의 주력이었던 아처는 생츄어리 월드에도 전해져, 이너스피어와 마찬가지로 그들의 군대에서 운용되고 있습니다. 아처 ARC-3S는 생츄어리 월드의 병기고에서 가장 거대한 미사일 무기인 시로코 포격 시스템을 탑재하고 있습니다. 오직 두 문의 시로코만으로 무장한 -3S는 포격 지원만 제공할 수 있지만, 그 역할만큼은 극도로 뛰어나게 수행합니다. 6톤의 탄약이 무기를 계속 발사할 수 있게 해 주지만, 생츄어리 DHS 13기는 무기를 차갑게 유지하려 애쓰면서도 결국 실패합니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_rifleman_RFL-4B.json,Description.Details,"The Sanctuary Worlds made an unusual choice early in their development: they largely disdained aerospace fighters for combat. This led to the Rifleman being repurposed largely as a direct fire support mech, though it retained its AA effectiveness against the odd VTOL fielded by the Sanctuary Worlders. Designed to break enemy positions, the -4B carries two Double-Barrel/15s, weapons which can shatter just about everything they point at. Two Medium Electro-Lasers are also equipped, for some unclear reason, in lieu of more ammunition.","생츄어리 월드들은 발전 초기 단계에서 특이한 선택을 했습니다. 전투용으로 항공우주 전투기를 대체로 경시했던 것입니다. 그 결과 라이플맨은 주로 직접 화력 지원 메크로 재용도되었지만, 생츄어리 월드 주민들이 간간이 운용하는 VTOL에 대해서는 대공 성능을 그대로 유지했습니다. 적 진지를 돌파하도록 설계된 -4B는 더블배럴/15 두 문을 탑재하고 있으며, 이 무기들은 겨누는 거의 모든 것을 산산조각 낼 수 있습니다. 또한 무슨 이유에선지 더 많은 탄약 대신 미디엄 일렉트로-레이저 두 문도 장비하고 있습니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_rifleman_RFL-4GC.json,Description.Details,"Developed during a war between the Jacobson Haven and the Dane Sacellum where the Sacellum had issues with its ammunition manufacturing, the -4GC is an exceedingly simple design. Armed with only two weapons, both of them Gamma Cannons, the -4GC can delete targets from the battlespace as fast as it can train the guns on them. Eleven DHS and a brace of six Heat Negators keep the guns ice-cold in any circumstance. The -4GC performed so well that it was kept in production and eventually even found its way to the other Sanctuary World powers.","제이콥슨 헤이븐과 데인 사셀룸 사이의 전쟁 중, 사셀룸이 탄약 생산에 문제를 겪던 와중에 개발된 -4GC는 극도로 단순한 설계입니다. 무장은 단 두 가지뿐이며, 그 둘 모두 감마 캐논입니다. -4GC는 포를 목표에 겨누는 즉시 전장을 지워 버리듯 대상을 제거할 수 있습니다. 11기의 더블 히트 싱크와 6기의 히트 네게이터 한 쌍이 어떤 상황에서도 포를 얼음장처럼 차갑게 유지해 줍니다. -4GC는 성능이 워낙 뛰어나 생산이 계속되었고, 결국 다른 생츄어리 월드 세력들에게까지 퍼져 나갔습니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_rifleman_RFL-4N.json,Description.Details,"The Sanctuary Worlds made an unusual choice early in their development: they largely disdained aerospace fighters for combat. This led to the Rifleman being repurposed largely as a direct fire support mech, though it retained its AA effectiveness against the odd VTOL fielded by the Sanctuary Worlders. Armed with two each Scattergun/5s and Large Electro-Lasers for a simple, clean, effective loadout. Endo-Steel provides the weight while the armor has been increased from the Rifleman standard. SHIELD covers the 3 ton ammo bin, giving decent endurance.","생츄어리 월드는 개발 초기에 특이한 선택을 했습니다. 전투에서 항공우주 전투기를 대체로 경시했던 것입니다. 그 결과 라이플맨은 주로 직접 화력 지원 메크로 재구성되었지만, 생츄어리 월드 측이 간간이 투입하는 VTOL에 대해서는 여전히 대공 성능을 유지했습니다. 무장은 Scattergun/5 2문과 라지 일렉트로-레이저 2문으로 구성되어, 단순하고 깔끔하면서도 효과적인 장비 구성을 갖추고 있습니다. 엔도-스틸이 중량 여유를 제공하며, 장갑은 라이플맨 표준형보다 증강되었습니다. SHIELD가 3톤 탄약 상자를 보호해 주어, 지속 전투 능력도 준수합니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_rifleman_RFL-4S.json,Description.Details,"The Sanctuary Worlds made an unusual choice early in their development: they largely disdained aerospace fighters for combat. This led to the Rifleman being repurposed largely as a direct fire support mech, though it retained its AA effectiveness against the odd VTOL fielded by the Sanctuary Worlders. The RFL-4S is built for closer-range engagements, with twin Scattergun/15s and a quartet of Twin-Linked Lasers for support. 4 tons of SHIELD-protected ammo is plenty for most combats. A Sanctuary XL, Endo-Steel, and Ferro-Fibrous armor provide the tonnage necessary.","생츄어리 월드는 개발 초기부터 이례적인 선택을 했습니다. 전투에서 항공우주 전투기를 대체로 경시한 것입니다. 그 결과 라이플맨은 주로 직사 화력 지원 메크로 용도가 바뀌었지만, 생츄어리 월드 측이 간간이 운용하는 VTOL을 상대로는 대공 능력을 그대로 유지했습니다. RFL-4S는 근거리 교전을 위해 설계되었으며, 쌍열 Scattergun/15와 지원용 Twin-Linked Laser 4문을 탑재했습니다. SHIELD로 보호되는 탄약 4톤이면 대부분의 전투에 충분합니다. 생츄어리 XL, 엔도 스틸, 그리고 페로 파이버러스 장갑이 그에 필요한 톤수를 제공합니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_trooper_TP-2D.json,Description.Details,"The Trooper is a mech oft forgotten by the Inner Sphere, as it was the primitive precursor to the Flea. However, the Sanctuary Worlds did not forget the Trooper and in fact iterated on it as their recon mech of choice. The Trooper is a popular scout mech in the Sanctuary thanks to its high speed and small profile. The TP-2D is a support chassis, designed to cover for allies and provide some protection for scouting lances. With its AMS and ECM Suite it can cover its allies easily. However, this comes at the cost of offense, as only a pair of DRM-2s and Small Electro-Lasers provide any offensive grit.","트루퍼는 플리의 원시적인 전신이었기에 이너스피어에서는 자주 잊히는 메크입니다. 하지만 생츄어리 월즈는 트루퍼를 잊지 않았고, 오히려 이를 자신들이 선호하는 정찰 메크로 개량해 왔습니다. 트루퍼는 높은 속도와 작은 실루엣 덕분에 생츄어리에서 인기 있는 정찰 메크입니다. TP-2D는 지원용 섀시로, 아군을 엄호하고 정찰 랜스에 어느 정도의 보호를 제공하도록 설계되었습니다. AMS와 ECM Suite를 갖추고 있어 아군을 손쉽게 엄호할 수 있습니다. 하지만 그 대가로 공격력은 떨어지며, DRM-2 한 쌍과 스몰 일렉트로-레이저만이 제한적인 화력을 제공합니다."
Heavy Metal Sanctuary Worlds Units/chassis/chassisdef_trooper_TP-2R.json,Description.Details,"The Trooper is a mech oft forgotten by the Inner Sphere, as it was the primitive precursor to the Flea. However, the Sanctuary Worlds did not forget the Trooper and in fact iterated on it as their recon mech of choice. The Trooper is a popular scout mech in the Sanctuary thanks to its high speed and small profile. Armed with a relatively light payload of twin Machine Guns, twin Small Electro-Lasers, and a Flamer, the Trooper goes fast and looks at things and that's about it. A 160-rated fusion engine pushes the mech to high speeds while Endo-Steel and Ferro-Fibrous provide tonnage for the payload.","트루퍼는 플리의 원시적인 전신이었기에 이너스피어에서는 종종 잊힌 메크입니다. 하지만 생츄어리 월드에서는 트루퍼를 잊지 않았고, 오히려 자들이 선호하는 정찰 메크로 개량을 거듭했습니다. 트루퍼는 높은 속도와 작은 실루엣 덕분에 생츄어리에서 인기 있는 정찰 메크입니다. 비교적 가벼운 탑재 무장으로 쌍열 머신건, 쌍열 스몰 일렉트로-레이저, 그리고 화염방사기를 장비하고 있으며, 트루퍼는 빠르게 달리며 정찰하는 데 특화되어 있을 뿐 그 이상은 아닙니다. 출력 160급 퓨전 엔진이 이 메크를 고속으로 밀어붙이고, 엔도 스틸과 페로-파이브러스가 무장 탑재를 위한 중량 여유를 제공합니다."
