File,Key,Value,Translation
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-1T.json,Description.Details,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 1T carries a pair of ER Large Lasers for ranged punch while up-close it carries a mighty LB-20X Autocannon with both standard and cluster ammunition.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시절, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적들에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 어스워크 GRF 쿼드 섀시를 기반으로 제작되었으며, 중량을 절약하고 메크가 중화기 탑재량을 실을 수 있게 해주는 마그나 350 XL 엔진을 지원합니다. 1T는 원거리 타격을 위해 ER 라지 레이저 한 쌍을 탑재하며, 근거리에서는 표준 탄약과 클러스터 탄약 모두를 사용하는 강력한 LB-20X 오토캐논을 탑재합니다."
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-1T.json,YangsThoughts,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 1T carries a pair of ER Large Lasers for ranged punch while up-close it carries a mighty LB-20X Autocannon with both standard and cluster ammunition.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시기에, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 마그나 350 XL 엔진을 지탱하는 Earthwerk GRF 쿼드 섀시를 기반으로 제작되었으며, 이 엔진은 중량을 절약해 메크가 중무장 탑재량을 실을 수 있게 해줍니다. 1T는 원거리 타격력을 위해 ER 라지 레이저 한 쌍을 탑재하고, 근거리에서는 표준탄과 클러스터 탄약을 모두 갖춘 강력한 LB-20X 오토캐논을 장비합니다."
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-2T.json,Description.Details,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 2T removes the weapons of the 1T model and replaces them with a single ER PPC and an Ultra Autocannon/20. The ultra autocannon is capable of firing at twice the rate as a standard autocannon, giving the 2T an incredible amount of short range firepower.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시절, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적들에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 어스워크 GRF 쿼드 섀시를 기반으로 제작되었으며, 중량을 절약하고 메크가 중화기 탑재량을 실을 수 있게 해주는 마그나 350 XL 엔진을 지원합니다. 2T는 1T 모델의 무장을 제거하고, 단일 ER PPC와 울트라 오토캐논/20으로 교체합니다. 울트라 오토캐논은 표준 오토캐논보다 두 배 빠른 속도로 사격할 수 있어, 2T에 엄청난 단거리 화력을 제공합니다."
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-2T.json,YangsThoughts,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 2T removes the weapons of the 1T model and replaces them with a single ER PPC and an Ultra Autocannon/20. The ultra autocannon is capable of firing at twice the rate as a standard autocannon, giving the 2T an incredible amount of short range firepower.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시기에, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 메크가 중무장 탑재량을 실을 수 있도록 중량을 절약해 주는 마그나 350 XL 엔진을 지탱하는 Earthwerk GRF 쿼드 섀시를 기반으로 제작되었습니다. 2T는 1T 모델의 무장을 제거하고 단일 ER PPC와 울트라 오토캐논/20으로 교체합니다. 울트라 오토캐논은 표준 오토캐논의 두 배 속도로 발사할 수 있어, 2T에 믿기 어려울 만큼 강력한 근거리 화력을 제공합니다."
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-3T.json,Description.Details,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 3T variant of the Barghest utilizes the new Heavy Gauss Rifle as its primary weapon that is capable of striking at relatively long ranges with a great deal of firepower that increases as the 3T Barghest closes with its target. To back this up, the 3T has a single ER Large Laser.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시절, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적들에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 어스워크 GRF 쿼드 섀시를 기반으로 제작되었으며, 중량을 절약하고 메크가 중화기 탑재량을 실을 수 있게 해주는 마그나 350 XL 엔진을 지원합니다. 바게스트의 3T 변형은 새로운 헤비 가우스 라이플을 주 무장으로 사용하며, 비교적 장거리에서도 강력한 화력으로 타격할 수 있고, 3T 바게스트가 표적에 접근할수록 그 위력이 증가합니다. 이를 보조하기 위해 3T는 단일 ER 라지 레이저를 탑재합니다."
BT Advanced Quad Mechs/chassis/chassisdef_barghest_BGS-3T.json,YangsThoughts,"Katherine Steiner-Davion decided during her reign over the Lyran Alliance that she wanted a four legged BattleMech that would evoke fear in its enemies in a similar vein to the classic Atlas and Banshee designs. To do this, the Barghest is built on an Earthwerk GRF Quad chassis that supports a Magna 350 XL engine that saves weight and allows the 'Mech to carry a heavy weapons payload. The 3T variant of the Barghest utilizes the new Heavy Gauss Rifle as its primary weapon that is capable of striking at relatively long ranges with a great deal of firepower that increases as the 3T Barghest closes with its target. To back this up, the 3T has a single ER Large Laser.","캐서린 스타이너-다비온은 라이란 동맹을 통치하던 시기에, 고전적인 아틀라스와 밴시 설계와 비슷한 방식으로 적에게 공포를 불러일으킬 4족 보행 배틀메크를 원했습니다. 이를 위해 바게스트는 메크가 중무장 탑재량을 실을 수 있도록 중량을 절약해 주는 마그나 350 XL 엔진을 지탱하는 Earthwerk GRF 쿼드 섀시를 기반으로 제작되었습니다. 바게스트의 3T 변형은 새로운 헤비 가우스 라이플을 주무장으로 사용하며, 이 무기는 비교적 긴 사거리에서 강력한 화력으로 타격할 수 있고, 3T 바게스트가 표적에 접근할수록 그 위력이 증가합니다. 이를 보조하기 위해, 3T는 단일 ER 라지 레이저를 탑재합니다."
BT Advanced Quad Mechs/chassis/chassisdef_celerity_CLR-02-X-C.json,Description.Details,"Some mechs can claim to be advanced but few can claim to be as advanced as the Celerity. Developed by ComStar after the Battle of Tukayyid to kickstart their burgeoning drone technology program, the Celerity is the absolute bleeding edge of BattleMech technology. Built on an Endo-Steel frame and equipped with a 240-rated XXL engine, the Celerity is one of the fastest 'Mechs ever produced. However, that speed comes at the cost of armor and firepower: the Celerity has a scant 2.5 tons of armor and has barely any weaponry with only two Clan-spec LRM-5s to defend itself. Because of its tremendous speed, the Celerity is driven via a Drone Operating System that introduces various downsides to the design but given its dedicated role as a recon unit, this was deemed acceptable for the Celerity's envisioned role. The Celerity is tremendously expensive and saw limited deployment.","첨단 메크라고 주장할 수 있는 메크는 일부 있지만, 셀러리티만큼 첨단이라고 주장할 수 있는 메크는 드뭅니다. 투카이드 전투 이후, 컴스타가 막 성장하던 드론 기술 프로그램에 시동을 걸기 위해 개발한 셀러리티는 배틀메크 기술의 최첨단입니다. 엔도강 프레임을 기반으로 제작되고 240등급 XXL 엔진을 장착한 셀러리티는 지금까지 생산된 메크 중 가장 빠른 축에 속합니다. 하지만 그 속도는 장갑과 화력을 희생한 대가입니다. 셀러리티는 장갑이 고작 2.5톤에 불과하며, 자체 방어용으로 클랜 사양 LRM-5 두 문만을 갖춰 무장도 거의 없습니다. 엄청난 속도 때문에 셀러리티는 드론 운영 시스템을 통해 구동되며, 이로 인해 설계상 여러 단점이 생기지만, 정찰 유닛이라는 전용 역할을 고려하면 셀러리티가 상정한 임무에는 받아들일 만한 것으로 판단되었습니다. 셀러리티는 극도로 비싸며 제한적으로만 배치되었습니다."
BT Advanced Quad Mechs/chassis/chassisdef_celerity_CLR-02-X-C.json,YangsThoughts,"Some mechs can claim to be advanced but few can claim to be as advanced as the Celerity. Developed by ComStar after the Battle of Tukayyid to kickstart their burgeoning drone technology program, the Celerity is the absolute bleeding edge of BattleMech technology. Built on an Endo-Steel frame and equipped with a 240-rated XXL engine, the Celerity is one of the fastest 'Mechs ever produced. However, that speed comes at the cost of armor and firepower: the Celerity has a scant 2.5 tons of armor and has barely any weaponry with only two Clan-spec LRM-5s to defend itself. Because of its tremendous speed, the Celerity is driven via a Drone Operating System that introduces various downsides to the design but given its dedicated role as a recon unit, this was deemed acceptable for the Celerity's envisioned role. The Celerity is tremendously expensive and saw limited deployment.","첨단 메크라고 주장할 수 있는 메크는 있지만, 셀러리티만큼 첨단이라고 주장할 수 있는 메크는 거의 없습니다. 투카이드 전투 이후 컴스타가 급성장하던 드론 기술 프로그램에 시동을 걸기 위해 개발한 셀러리티는 배틀메크 기술의 절대적인 최첨단입니다. 엔도강 프레임을 기반으로 제작되고 240등급 XXL 엔진을 장착한 셀러리티는 지금까지 생산된 메크 중 가장 빠른 축에 속합니다. 하지만 그 속도는 장갑과 화력을 대가로 합니다. 셀러리티는 고작 2.5톤의 장갑만을 갖추고 있으며, 자체 방어용으로 클랜 사양 LRM-5 2기만 탑재할 정도로 무장도 거의 없습니다. 엄청난 속도 때문에 셀러리티는 드론 운영 시스템을 통해 구동되며, 이는 설계에 여러 단점을 가져오지만 정찰 유닛이라는 전용 역할을 고려하면 셀러리티가 구상된 역할에는 acceptable한 것으로 여겨졌습니다. 셀러리티는 대단히 비싸며 제한적으로 배치되었습니다."
BT Advanced Quad Mechs/chassis/chassisdef_celerity_CLR-02-X-D.json,Description.Details,"Some mechs can claim to be advanced but few can claim to be as advanced as the Celerity. Developed by ComStar after the Battle of Tukayyid to kickstart their burgeoning drone technology program, the Celerity is the absolute bleeding edge of BattleMech technology. Built on an Endo-Steel frame and equipped with a 240-rated XXL engine which is enhanced by a MASC system, the Celerity is one of the fastest 'Mechs ever produced. However, that speed comes at the cost of armor and firepower: the Celerity has a scant 2 tons of armor and has no offensive firepower, carrying only a C3i system. Because of its tremendous speed, the Celerity is driven via a Drone Operating System that introduces various downsides to the design but given its dedicated role as a recon unit, this was deemed acceptable for the Celerity's envisioned role. The Celerity is tremendously expensive and saw limited deployment.","첨단 메크라고 주장할 수 있는 메크는 일부 있지만, 셀러리티만큼 첨단이라고 주장할 수 있는 메크는 드뭅니다. 투카이드 전투 이후, 컴스타가 막 성장하던 드론 기술 프로그램에 시동을 걸기 위해 개발한 셀러리티는 배틀메크 기술의 최첨단입니다. 엔도강 프레임을 기반으로 제작되고 MASC 시스템으로 강화된 240등급 XXL 엔진을 장착한 셀러리티는 지금까지 생산된 메크 중 가장 빠른 축에 속합니다. 하지만 그 속도는 장갑과 화력을 희생한 대가입니다. 셀러리티는 장갑이 고작 2톤에 불과하며, 공격 화력은 전혀 없고 C3i 시스템만을 탑재합니다. 엄청난 속도 때문에 셀러리티는 드론 운영 시스템을 통해 구동되며, 이로 인해 설계상 여러 단점이 생기지만, 정찰 유닛이라는 전용 역할을 고려하면 셀러리티가 상정한 임무에는 받아들일 만한 것으로 판단되었습니다. 셀러리티는 극도로 비싸며 제한적으로만 배치되었습니다."
BT Advanced Quad Mechs/chassis/chassisdef_celerity_CLR-02-X-D.json,YangsThoughts,"Some mechs can claim to be advanced but few can claim to be as advanced as the Celerity. Developed by ComStar after the Battle of Tukayyid to kickstart their burgeoning drone technology program, the Celerity is the absolute bleeding edge of BattleMech technology. Built on an Endo-Steel frame and equipped with a 240-rated XXL engine which is enhanced by a MASC system, the Celerity is one of the fastest 'Mechs ever produced. However, that speed comes at the cost of armor and firepower: the Celerity has a scant 2 tons of armor and has no offensive firepower, carrying only a C3i system. Because of its tremendous speed, the Celerity is driven via a Drone Operating System that introduces various downsides to the design but given its dedicated role as a recon unit, this was deemed acceptable for the Celerity's envisioned role. The Celerity is tremendously expensive and saw limited deployment.","첨단 메크라고 주장할 수 있는 메크는 있지만, 셀러리티만큼 첨단이라고 주장할 수 있는 메크는 거의 없습니다. 투카이드 전투 이후 컴스타가 급성장하던 드론 기술 프로그램에 시동을 걸기 위해 개발한 셀러리티는 배틀메크 기술의 절대적인 최첨단입니다. 엔도강 프레임을 기반으로 제작되고 MASC 시스템으로 강화된 240등급 XXL 엔진을 장착한 셀러리티는 지금까지 생산된 메크 중 가장 빠른 축에 속합니다. 하지만 그 속도는 장갑과 화력을 대가로 합니다. 셀러리티는 고작 2톤의 장갑만을 갖추고 있으며, 공격 화력은 전혀 없이 C3i 시스템만 탑재합니다. 엄청난 속도 때문에 셀러리티는 드론 운영 시스템을 통해 구동되며, 이는 설계에 여러 단점을 가져오지만 정찰 유닛이라는 전용 역할을 고려하면 셀러리티가 구상된 역할에는 적합한 것으로 여겨졌습니다. 셀러리티는 대단히 비싸며 제한적으로 배치되었습니다."
