File,Key,Value,Translation
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-1N.json,Description.Details,"Developed by Team Banzai as the big brother of the highly successful Hatchetman, the Axman was designed exclusively to be a 'Mech killer. The two primary weapons on board the Axman are its massive Hatchet, which alone weighs five tons and can cleave through enemy 'Mech armor like a knife through butter, and a Autocannon/20, which can strip over a ton of armor off of an enemy 'Mech with ease. The 'Mech also carries a trio of Medium Lasers and a highly accurate Large Pulse Laser for short to intermediate range combat.","대성공을 거둔 해칫맨의 형님격으로 팀 반자이가 개발한 액스맨은 오직 ’메크 킬러로만 설계되었습니다. 액스맨의 주무장은 두 가지인데, 하나는 그것만으로도 5톤에 달하며 칼이 버터를 가르듯 적 ’메크의 장갑을 쪼갤 수 있는 거대한 해칫이고, 다른 하나는 적 ’메크의 장갑을 1톤 이상 손쉽게 벗겨낼 수 있는 오토캐논/20입니다. 이 ’메크는 또한 단거리에서 중거리 전투를 위해 미디엄 레이저 3문과 높은 명중률의 라지 펄스 레이저도 탑재하고 있습니다."
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-1TL.json,Description.Details,"Developed by a deranged merc, the AXM-1TL is the big brother of the Hatchetman 4TL, This one is more focused on being a 'Mech killer. Other than a massive Hatchet, it comes loaded with a LBX 2, a ER Large Laser, three ER Medium Lasers and Hardened Armor.","광기에 사로잡힌 용병이 개발한 AXM-1TL은 해칫맨 4TL의 형님뻘 되는 기종입니다. 이 기체는 메크 킬러 역할에 더 중점을 두고 있습니다. 거대한 해칫 외에도 LBX 2, ER 라지 레이저, ER 미디엄 레이저 세 문, 그리고 강화 장갑을 탑재하고 있습니다."
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-2N.json,Description.Details,"The 2N variant of the Axman, introduced in the late 3040s, has been called a mistake by some and a stroke of genius by others. The 2N carries two LRM-15 launchers in place of the massive Autocannon/20 as the autocannon often jammed on early models. While this changes the 'Mech's role from a city fighter to a long-range bombardment 'Mech, it also allows the Axman to be a support 'Mech that can defend itself with its massive Hatchet at ranges where the LRMs are ineffective if an enemy closes.","3040년대 후반에 도입된 액스맨의 2N형은, 누군가에게는 실수라고 불렸고 다른 이들에게는 천재적인 한 수로 여겨졌습니다. 2N은 초기 모델에서 오토캐논이 자주 걸렸기 때문에, 거대한 오토캐논/20 대신 LRM-15 발사기 두 기를 탑재했습니다. 이로 인해 이 ’메크의 역할은 시가전용 전투기에서 장거리 포격용 ’메크로 바뀌었지만, 동시에 적이 접근해 LRM이 비효율적인 거리로 들어왔을 때도 거대한 해칫으로 스스로를 방어할 수 있는 지원용 ’메크가 될 수 있게 해줍니다."
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-3N.json,Description.Details,"Created by the same, so-called diseased, minds that created the Axman-2N, the -3N takes the Axman's role of fire support to another level. Built on an Endo-Steel frame, one LRM-15 has been upgrade to a 20 while the other has been replaced with a LB-5X Autocannon. The Medium Lasers are now Pulse versions and on the left arm instead of the right and the Hatchet has been retained. The Axman-3N proved a failure and most were sold off cheaply to mercenary units and minor militias.","같은, 이른바 병든 정신들이 만들어낸 Axman-2N과 마찬가지로, -3N은 액스맨의 화력 지원 역할을 한 단계 더 끌어올렸습니다. 엔도 스틸 프레임을 기반으로 제작되어, LRM-15 한 문은 20으로 업그레이드되었고 다른 한 문은 LB-5X 오토캐논으로 교체되었습니다. 미디엄 레이저는 이제 펄스 버전이 되었으며 오른팔 대신 왼팔에 장착되었고, 해칫은 그대로 유지되었습니다. Axman-3N은 실패작으로 판명되었고, 대부분은 용병 부대와 소규모 민병대에 헐값에 매각되었습니다."
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-3S.json,Description.Details,"The Furillo manufactured 3S introduced in 3057 removes the XL Engine of the 1N and 2N variants and replaces it with a Light Fusion Engine. This exclusively Lyran variant of the Axman is armed with a massive LB-X Autocannon/20, which allows it to fire either solid rounds or cluster rounds that act like a 'Mech sized shotgun. The 'Mech also carries three ER Medium Lasers for close combat and a Guardian ECM Suite, which defends against enemy electronic warfare equipment.","3057년에 푸릴로에서 생산된 3S는 1N 및 2N 형식의 XL 엔진을 제거하고 라이트 퓨전 엔진으로 교체한 기종입니다. 이 라이란 전용 액스맨 형식은 거대한 LB-X 오토캐논/20으로 무장하고 있으며, 이를 통해 고형탄이나 ’메크 크기의 산탄총처럼 작동하는 클러스터 탄을 발사할 수 있습니다. 또한 이 ’메크는 근접전을 위한 ER 미디엄 레이저 3문과 적 전자전 장비를 방어하는 가디언 ECM 스위트를 탑재하고 있습니다."
Flashpoint Unit Module/chassis/chassisdef_axman_AXM-3Sr.json,Description.Details,"This variant on the AXM-3S was introduced in the 3060s and uses a Rotary AC/5 as the main firepower. For backup weaponry, the -3Sr carries a Medium Pulse Laser and three ER Medium Lasers. The RAC/5 is fed by four tons of ammunition, more than enough for any battlefield. The 'Mech is protected by Guardian ECM and carries a C3 Slave unit to link up with lancemates for improved targeting. Of course, the massive hatchet remains in place to decimate the Axman's enemies.","AXM-3S의 이 파생형은 3060년대에 도입되었으며, 주 화력으로 로터리 AC/5를 사용합니다. 보조 무장으로 -3Sr은 미디엄 펄스 레이저 1문과 ER 미디엄 레이저 3문을 탑재합니다. RAC/5에는 탄약 4톤이 공급되어 어떤 전장에서도 충분하고도 남습니다. 이 ’메크는 가디언 ECM의 보호를 받으며, 랜스메이트와 연동해 조준 성능을 향상시키기 위한 C3 슬레이브 유닛도 탑재하고 있습니다. 물론, 거대한 해쳇은 그대로 유지되어 액스맨의 적들을 박살 내는 데 쓰입니다."
Flashpoint Unit Module/chassis/chassisdef_crab__fp_gladiator_BSC-27.json,Description.Details,"A uniquely hybridized brawler built from the husk of a CRB-27. Bogdan ''The Steel Beast'' Tubbs had the Big Steel Claw's chassis rebuilt to support the mounting of ballistic weaponry, presumably in the interest of creating a louder and more violent spectacle in the arena.","CRB-27의 껍데기를 바탕으로 만들어진, 독특하게 혼합 개조된 난투형 기체입니다. 보그단 ''더 스틸 비스트'' 터브스는 아레나에서 더 시끄럽고 더 폭력적인 볼거리를 만들어내려는 의도로 보이며, 빅 스틸 클로의 섀시를 탄도 무장을 탑재할 수 있도록 재구축했습니다."
Flashpoint Unit Module/chassis/chassisdef_crab_CRB-20.json,Description.Details,"The Crab-20 is the Succession Wars downgrade of the Star League's Crab-27. Luckily, the Crab weathered the downgrade extremely well, ending up as precisely the same mech but with standard armor instead of Ferro-Fibrous. Otherwise, the Crab-20 is just a Crab-27.","크랩-20은 스타 리그의 크랩-27을 계승 전쟁기에 맞춰 다운그레이드한 기종입니다. 다행히도 크랩은 이 다운그레이드를 매우 잘 버텨냈고, 결국 페로-파이브러스 대신 표준 장갑을 장착한 것을 제외하면 정확히 동일한 메크로 남았습니다. 그 외에는, 크랩-20은 그냥 크랩-27입니다."
Flashpoint Unit Module/chassis/chassisdef_crab_CRB-27.json,Description.Details,"Crab 27s fulfill an oft overlooked role, that of a skirmisher with firepower. Wielding strong energy weapons, the Crab delivers a punch at nearly all ranges, with no ammunition constraints. The blend of firepower, heat efficiency, and speed make the Crab the perfect 'Mech to raid enemy positions.","크랩 27은 화력을 갖춘 교전기의 역할을 수행합니다. 이 역할은 자주 간과되곤 합니다. 강력한 에너지 무기를 장비한 크랩은 탄약 제약 없이 거의 모든 사거리에서 강한 일격을 가할 수 있습니다. 화력, 열 효율, 기동성의 조합은 크랩을 적 진지를 기습하기에 완벽한 ’메크로 만들어 줍니다."
Flashpoint Unit Module/chassis/chassisdef_crab_CRB-27b.json,Description.Details,"The Crab-27b is the Star League's Royal regiment variant of the venerable Crab. It carries a similar weapon loadout as the Crab-20 and -27 but, where they use single heat sinks, the -27b uses doubles which let it run far colder and pump out damage far more consistently.","크랩-27b는 오랜 명성을 지닌 크랩의 스타 리그 왕립 연대형 파생기입니다. 무장 구성은 크랩-20 및 -27과 비슷하지만, 그 기종들이 싱글 히트 싱크를 사용하는 데 비해 -27b는 더블 히트 싱크를 사용해 훨씬 더 낮은 발열로 훨씬 더 안정적으로 피해를 퍼부을 수 있습니다."
