File,Key,Value,Translation
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_banshee_BNC-4D.json,Description.Details,"As the Sanctuary armies realized the potential of the Banshee, it was natural that new variants would roll out across the Sanctuary Worlds. Among them was the BNC-4D. Armed with only two weapons, they're among the largest that the Sanctuary can provide: a Double-Barrel AC/20 and a Gamma Cannon. Thanks to this combo, the Banshee has deadly firepower at any range. Four Jump Jets provide unexpected mobility while three tons of DBAC ammo keep the cannon firing.","생츄어리 군대가 밴시의 잠재력을 깨달으면서, 생츄어리 월드 전역에 새로운 파생형이 배치되는 것은 자연스러운 일이었습니다. 그중 하나가 BNC-4D입니다. 무장은 단 두 종류뿐이지만, 생츄어리가 제공할 수 있는 최대급 화력으로 무장했습니다. 더블배럴 AC/20과 감마 캐논입니다. 이 조합 덕분에 밴시는 어떤 사거리에서도 치명적인 화력을 발휘합니다. 점프 제트 4기가 예상 밖의 기동성을 제공하며, DBAC 탄약 3톤이 캐논의 지속 사격을 뒷받침합니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_banshee_BNC-4E.json,Description.Details,"An old Inner Sphere staple assault 'Mech, the Banshee was little loved by the Sanctuary Worlds at first thanks to its poor reputation in the IS. However, Sanctuary techs quickly discovered that the Banshee's cavernous torsos were excellent for mounting weaponry and that the rugged design was easy to maintain. This endeared it to the Sanctury Worlders and they developed many variants, starting with the BNC-4E. Armed with a NPC and a Double-Barrel AC/10, as well as the standard head Small Electro-Laser, the BNC-4E proved a durable and effective assault cavalry mech.","이너스피어의 오랜 주력 어썰트 ’메크인 밴시는 IS에서의 좋지 않은 평판 때문에 처음에는 생츄어리 월드에서 그다지 사랑받지 못했습니다. 그러나 생츄어리의 기술자들은 곧 밴시의 널찍한 동체가 무장을 탑재하기에 매우 적합하고, 견고한 설계 덕분에 정비도 쉽다는 사실을 발견했습니다. 이 점은 생츄어리 월드 주민들의 마음을 사로잡았고, 그들은 BNC-4E를 시작으로 수많은 파생형을 개발했습니다. NPC와 더블배럴 AC/10, 그리고 표준형 머리 장착 스몰 일렉트로-레이저로 무장한 BNC-4E는 내구성과 전투 효율이 뛰어난 어썰트 기병 메크임을 입증했습니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_banshee_BNC-4L.json,Description.Details,"The Sanctuary Worlds developed interesting new weapons of war in their long isolation. Part of this included experiments that didn't necessarily succeed as designed. One of those is the BNC-4L, an unusual refit that saw limited production. Armed with four Large Electro-Lasers and a Scattergun/5, the -4L's claim to fame was the Supercharger it carried which boosted its ground speed, permitting incredible and unexpected bursts of speed. An AMS provided extra defensive coverage while a brace of DHS, Heat Controllers, and Heat Negators helped keep the guns in check.","생츄어리 월드는 오랜 고립 속에서 흥미로운 신형 전쟁 무기를 개발했습니다. 그 과정에는 설계대로 반드시 성공하지는 못한 실험들도 포함되어 있었습니다. 그중 하나가 BNC-4L로, 제한적으로 생산된 특이한 개수형이었습니다. 4문의 대형 일렉트로-레이저와 스캐터건/5로 무장한 -4L의 가장 큰 특징은 지상 속도를 끌어올리는 슈퍼차저를 탑재해, 믿기 어려울 정도로 빠르고 예상 밖의 순간 가속을 가능하게 했다는 점입니다. AMS는 추가 방어 엄호를 제공했고, 한 쌍의 DHS와 히트 컨트롤러, 히트 네게이터는 무장의 열을 억제하는 데 도움을 주었습니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_banshee_BNC-4S.json,Description.Details,"The Sanctuary Worlds developed interesting new weapons of war in their long isolation. Some of those mechs worked out, some of them did not. Among those that did work was the BNC-4S. Built on a super-durable Endo-Carbide frame and powered by the traditional 380-rated XL engine, the -4S uses a fairly basic loadout of a Scattergun/15 and Double-Barrel AC/15 for primary firepower while a Large Modal Laser and Medium Electro-Laser play second fiddle. An ECM Suite rounds out the defensive options while 13 DHS keep it all chilly.","생츄어리 월드는 오랜 고립 속에서 흥미로운 신형 전쟁 무기들을 개발했습니다. 그중 일부 메크는 성공작이었고, 일부는 그렇지 못했습니다. 그 성공작들 가운데 하나가 바로 BNC-4S입니다. 초내구성 Endo-Carbide 프레임을 기반으로 건조되고 전통적인 380급 XL 엔진으로 구동되는 -4S는 주 화력으로 Scattergun/15와 Double-Barrel AC/15라는 비교적 기본적인 무장 구성을 사용하며, Large Modal Laser와 Medium Electro-Laser는 보조 화력을 담당합니다. ECM Suite가 방어 수단을 보완하고, 13기의 DHS가 전체를 시원하게 유지합니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_blaze_BLZ-3D.json,Description.Details,"Designed with a slim profile and high speed in mind, the Blaze exists for one purpose: flames. With a quartet of dedicated flamers, the Blaze can burn anything to a crisp in seconds. Combined with an APM-4 armed with Inferno ammo and the Blaze can bring down even hardened targets. For cracking true armor, it carries a simple Small Modal Laser. With a core 180 engine and Endo-Steel construction, the Blaze is a durable and functional machine.","날렵한 실루엣과 고속 성능을 염두에 두고 설계된 블레이즈는 단 하나의 목적, 바로 화염을 위해 존재합니다. 전용 화염방사기 4문을 갖춘 블레이즈는 몇 초 만에 무엇이든 새까맣게 태워 버릴 수 있습니다. 여기에 Inferno 탄약으로 무장한 APM-4까지 결합하면, 블레이즈는 장갑이 두터운 목표조차 쓰러뜨릴 수 있습니다. 진짜 장갑을 뚫기 위해서는 간단한 스몰 모달 레이저를 탑재하고 있습니다. 코어 180 엔진과 엔도 스틸 구조를 갖춘 블레이즈는 내구성과 실용성을 겸비한 기체입니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_blaze_BLZ-3M.json,Description.Details,"Designed with a slim profile and high speed in mind, the Blaze exists for one purpose: flames, though the BLZ-3M distorts that purpose somewhat. The -3M replaces the standard flamers with Machine Guns and turns the mech into a more dedicated anti-infantry unit. However, as a nod to the original mission statement, it also carries twin Bombard Cannon/3s armed with two tons of Inferno ammo to ensure that when a Blaze takes the field, no one is safe from the flames.","날렵한 실루엣과 고속 기동을 염두에 두고 설계된 Blaze는 오직 하나의 목적, 바로 화염을 위해 존재합니다. 다만 BLZ-3M은 그 목적을 다소 비틀어 놓았습니다. -3M은 표준 화염방사기를 머신건으로 교체해 이 메크를 보다 본격적인 대보병 유닛으로 탈바꿈시켰습니다. 하지만 원래의 임무 기조를 기리는 의미로, 인페르노 탄약 2톤을 장전한 Bombard Cannon/3 쌍열도 탑재하여 Blaze가 전장에 나서면 누구도 화염으로부터 안전할 수 없게 했습니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_blaze_BLZ-3X.json,Description.Details,"Designed with a slim profile and high speed in mind, the Blaze exists for one purpose: flames. The BLZ-3X carries the requisite quartet of flamers but ups the ante with a Directed X-Ray Cannon. While the DXR is not, strictly speaking, a flame weapon it does behave like one against hardened targets. The standard Small Modal Laser remains while an AMS has been added for extra missile protection. To pay for the weight of the DXR, the -3X carries an XL Engine.","날렵한 실루엣과 높은 속도를 염두에 두고 설계된 Blaze는 단 하나의 목적, 바로 화염을 위해 존재합니다. BLZ-3X는 필요한 4문의 화염방사기를 탑재하고 있으며, 여기에 Directed X-Ray Cannon까지 더해 화력을 한층 끌어올렸습니다. DXR은 엄밀히 말해 화염 무기는 아니지만, 장갑화된 목표물에 대해서는 화염 무기처럼 작동합니다. 표준 스몰 모달 레이저는 그대로 유지되었고, 추가적인 미사일 방호를 위해 AMS가 더해졌습니다. DXR의 중량을 감당하기 위해, -3X는 XL 엔진을 탑재했습니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_blaze_BLZ-4L.json,Description.Details,"Designed with a slim profile and high speed in mind, the Blaze exists for one purpose: flames. With a quartet of dedicated flamers, the Blaze can burn anything to a crisp in seconds. The BLZ-4L was designed with hardened targets in mind and replaces the -3D's APM-4 with twin Medium Modal Lasers and replaces the Small Modal with twin Small Electro-Lasers. With this higher firepower, the Blaze ensures no one can escape.","날렵한 실루엣과 고속 성능을 염두에 두고 설계된 Blaze는 오직 한 가지 목적을 위해 존재합니다. 바로 화염입니다. 전용 화염방사기 4문을 탑재한 Blaze는 무엇이든 몇 초 만에 새까맣게 태워버릴 수 있습니다. BLZ-4L은 강화된 표적을 염두에 두고 설계되었으며, -3D의 APM-4를 미디엄 모달 레이저 2문으로 교체하고 스몰 모달은 스몰 일렉트로-레이저 2문으로 교체했습니다. 이렇게 향상된 화력을 갖춘 Blaze는 그 누구도 빠져나가지 못하게 합니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_catapult_CPLT-S1.json,Description.Details,"Originally made for the Terran Hegemony, the Catapult accompanied the Sanctuary Worlders on their journey far beyond the Inner Sphere. They would develop the mech further, eventually developing the CPLT-S1 standard. Armed for mobile fire support much like the original Catapult, the -S1 carries a pair of VRM-12 launchers as well as a quartet of Medium Modal Lasers. Sanctuary-spec Ferro-Fibrous Armor and Double Heat Sinks round out the design while 4 Jump Jets keep the mech's traditional mobility.","원래 테란 헤게모니를 위해 제작된 캐터펄트는 생츄어리 월더들과 함께 이너스피어를 훨씬 넘어선 여정에 동행했습니다. 이후 그들은 이 메크를 더욱 발전시켜, 마침내 CPLT-S1 표준형을 개발했습니다. 원형 캐터펄트처럼 기동 화력 지원용으로 무장한 -S1은 VRM-12 발사기 한 쌍과 미디엄 모달 레이저 4문을 탑재하고 있습니다. 생츄어리 규격 페로-파이브러스 장갑과 더블 히트 싱크로 설계를 완성했으며, 점프 제트 4기가 이 메크의 전통적인 기동성을 유지해 줍니다."
BT Advanced Sanctuary Worlds Mechs/chassis/chassisdef_catapult_CPLT-S2.json,Description.Details,"Originally made for the Terran Hegemony, the Catapult accompanied the Sanctuary Worlders on their journey far beyond the Inner Sphere. The Catapult CPLT-S2 would be developed to use new weapon systems developed in the Sanctuary Worlds. Armed with a Double-Barrel AC/10 and a Scattergun/10 for primary firepower and with a quartet of Medium Electro-Lasers for secondary firepower, the -S2 proved a capable threat against just about anything. However, as a Sanctuary XL Engine was required to make the tonnage work, the -S2 is slightly more fragile than other Catapult variants.","원래 테란 헤게모니를 위해 제작된 캐터펄트는 생츄어리 월더들과 함께 이너스피어를 훨씬 넘어선 여정에 동행했습니다. 캐터펄트 CPLT-S2는 생츄어리 월드에서 개발된 새로운 무기 체계를 사용하도록 개발되었습니다. 주 화력으로는 더블 배럴 AC/10과 스캐터건/10, 부 화력으로는 4문의 미디엄 일렉트로-레이저를 장비한 -S2는 거의 모든 적을 상대로 위협적인 성능을 입증했습니다. 하지만 이 중량 구성을 맞추기 위해 생츄어리 XL 엔진이 필요했기에, -S2는 다른 캐터펄트 파생형보다 약간 더 취약합니다."
