File,Key,Value,Translation
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-A.json,Description.Details,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. A long range missile support configuration, the Adder A has a pair of LRM-20 launchers, allowing it to bombard an enemy from long range. For close combat, the 'Mech has two Small Pulse Lasers.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시와 경량 210 XL 엔진을 사용해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 화력으로부터 보호하기 위해 6톤의 페로-파이버러스 장갑을 탑재합니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플래머를 장착하고 있습니다. 장거리 미사일 지원 구성인 애더 A는 LRM-20 발사기 한 쌍을 탑재하여 장거리에서 적을 폭격할 수 있습니다. 근접전을 위해 이 메크는 스몰 펄스 레이저 2문을 갖추고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-A.json,YangsThoughts,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. A long range missile support configuration, the Adder A has a pair of LRM-20 launchers, allowing it to bombard an enemy from long range. For close combat, the 'Mech has two Small Pulse Lasers.","애더는 대부분의 구성에서 직사 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 장착하고 있습니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 화염방사기 하나를 탑재하고 있습니다. 장거리 미사일 지원 구성인 애더 A는 LRM-20 발사기 한 쌍을 장비하고 있어 장거리에서 적을 포격할 수 있습니다. 근접전을 위해 이 메크는 스몰 펄스 레이저 두 문을 장착하고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-B.json,Description.Details,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. A long range sniping configuration, the B configuration carries an LB-X Autocannon/5 backed up by a highly accurate Large Pulse Laser for long range engagements. To protect itself at close ranges, the Adder B has a pair of ER Medium Lasers.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 탑재합니다. 애더는 메크에서 제거할 수 없는 고정 마운트의 화염방사기를 장착하고 있습니다. 장거리 저격용 구성인 B 구성은 장거리 교전을 위해 LB-X 오토캐논/5와 높은 명중률의 라지 펄스 레이저를 탑재합니다. 근거리에서 자신을 보호하기 위해 애더 B는 한 쌍의 ER 미디엄 레이저를 갖추고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-B.json,YangsThoughts,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. A long range sniping configuration, the B configuration carries an LB-X Autocannon/5 backed up by a highly accurate Large Pulse Laser for long range engagements. To protect itself at close ranges, the Adder B has a pair of ER Medium Lasers.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 경량 210 XL 엔진을 탑재하고 중량 절감형 엔도 스틸 섀시를 사용해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 공격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 탑재합니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플레이머를 탑재합니다. 장거리 저격 구성인 B 구성은 장거리 교전을 위해 높은 명중률의 라지 펄스 레이저를 보조 무장으로 갖춘 LB-X 오토캐논/5를 탑재합니다. 근거리에서 자신을 방어하기 위해, 애더 B는 한 쌍의 ER 미디엄 레이저를 갖추고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-C.json,Description.Details,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. Another long range bombardment configuration, the Adder C has two LRM-15 launchers and takes advantage of their lack of a minimum range by carrying a Narc Missile Beacon that can attach homing pods to enemy 'Mechs for increased missile accuracy. For close range defense, the 'Mech has a single Medium Pulse Laser.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 공격으로부터 방호하기 위해 6톤의 페로-파이브러스 장갑을 장착하고 있습니다. 애더는 메크에서 제거할 수 없는 고정 마운트식 화염방사기 하나를 탑재하고 있습니다. 또 다른 장거리 포격 구성인 애더 C는 LRM-15 발사기 두 기를 탑재하고, 최소 사거리가 없다는 장점을 살리기 위해 나크 미사일 비컨을 장비하여 적 메크에 유도 포드를 부착해 미사일 명중률을 높일 수 있습니다. 근거리 방어용으로 이 메크는 미디엄 펄스 레이저 한 문을 장착하고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-C.json,YangsThoughts,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. Another long range bombardment configuration, the Adder C has two LRM-15 launchers and takes advantage of their lack of a minimum range by carrying a Narc Missile Beacon that can attach homing pods to enemy 'Mechs for increased missile accuracy. For close range defense, the 'Mech has a single Medium Pulse Laser.","애더는 대부분의 구성에서 직사 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시와 경량 210 XL 엔진을 사용해 가능한 한 많은 중량을 확보하며, 그 덕분에 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 장비하고 있습니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플레이머를 탑재하고 있습니다. 또 다른 장거리 포격 구성인 애더 C는 LRM-15 발사기 2문을 장비하고 있으며, 최소 사거리가 없다는 장점을 살리기 위해 나크 미사일 비컨을 탑재해 적 메크에 유도 포드를 부착함으로써 미사일 명중률을 높입니다. 근거리 방어를 위해 이 메크는 미디엄 펄스 레이저 1문을 장비하고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-D.json,Description.Details,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. Another long range sniper configuration, the Adder D has an ER Large Laser and an Ultra Autocannon/5 for long range engagements, with a pair of Streak SRM-2 launchers to finish off any enemies who close with the 'Mech.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 장비합니다. 애더는 메크에서 제거할 수 없는 고정 마운트의 화염방사기를 탑재합니다. 또 다른 장거리 저격 구성인 애더 D는 장거리 교전을 위해 ER 라지 레이저와 울트라 오토캐논/5를 장비하고, 메크에 접근한 적들을 마무리하기 위해 스트릭 SRM-2 발사기 한 쌍을 갖추고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-D.json,YangsThoughts,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. Another long range sniper configuration, the Adder D has an ER Large Laser and an Ultra Autocannon/5 for long range engagements, with a pair of Streak SRM-2 launchers to finish off any enemies who close with the 'Mech.","애더는 대부분의 구성에서 직사 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 경량 210 XL 엔진을 탑재하고 중량 절감형 엔도 스틸 섀시를 사용해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 공격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 장비하고 있습니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플레이머를 장착하고 있습니다. 또 다른 장거리 저격 구성인 애더 D는 장거리 교전을 위해 ER 라지 레이저와 울트라 오토캐논/5를 장비하고 있으며, 메크에 접근한 적을 마무리하기 위해 스트릭 SRM-2 발사기 한 쌍을 갖추고 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-E.json,Description.Details,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. The E configuration has two ATM-9 launchers which can fire ammunition specialized for long, medium, and short ranges. For close combat, the 'Mech has an additional four Micro Pulse Lasers.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 탑재하고 있습니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플래머를 장비하고 있습니다. E 구성은 장거리, 중거리, 단거리용 특수 탄약을 발사할 수 있는 ATM-9 발사기 두 기를 갖추고 있습니다. 근접 전투를 위해 이 메크에는 마이크로 펄스 레이저 네 문이 추가로 장착되어 있습니다."
BT Advanced Clan Mechs/chassis/chassisdef_adder_ADR-E.json,YangsThoughts,"The Adder is a light Clan OmniMech that serves as a direct or an indirect fire-support unit in most of its configurations. The Adder frees up as much weight as possible by using a weight-saving Endo Steel chassis and carrying a lightweight 210 XL Engine, which gives the 'Mech a top speed of 97.2 km/h. The Adder carries six tons of Ferro-Fibrous armor for protection from enemy fire. The Adder has a Flamer in a fixed mount which cannot be removed from the 'Mech. The E configuration has two ATM-9 launchers which can fire ammunition specialized for long, medium, and short ranges. For close combat, the 'Mech has an additional four Micro Pulse Lasers.","애더는 대부분의 구성에서 직접 또는 간접 화력 지원 유닛으로 운용되는 라이트 클랜 옴니메크입니다. 애더는 중량 절감형 엔도 스틸 섀시를 사용하고 경량 210 XL 엔진을 탑재해 가능한 한 많은 중량을 확보하며, 이로써 이 메크는 최고 속도 97.2 km/h를 냅니다. 애더는 적의 사격으로부터 보호하기 위해 6톤의 페로-파이브러스 장갑을 탑재합니다. 애더는 메크에서 제거할 수 없는 고정 마운트형 플래머를 장비하고 있습니다. E 구성은 장거리, 중거리, 단거리용 특수 탄약을 발사할 수 있는 ATM-9 발사기 2문을 탑재합니다. 근접전용으로 이 메크는 추가로 마이크로 펄스 레이저 4문을 갖추고 있습니다."
