File,Key,Value,Translation
BT Advanced Unique Mechs/chassis/chassisdef_adder_ADR-CN.json,Description.Details,"Reportedly first fielded by Clan Wolf pilot Dirk Radick, the Cinder mounts an ER Large Laser in each arm supported by a Machine Gun in each side torso complemented by the head mounted Flamer. Carrying one ton of machine gun rounds, five extra Double Heat Sinks maintain a high rate of fire.","클랜 울프의 파일럿 더크 래딕이 처음 실전 배치한 것으로 알려진 신더는 양팔에 ER 라지 레이저를 1문씩 장비하고, 양측 상체에 머신건을 1정씩 탑재했으며, 머리 장착식 화염방사기로 이를 보완합니다. 머신건 탄약 1톤을 적재하고 있으며, 추가된 더블 히트 싱크 5기가 높은 발사 속도를 유지합니다."
BT Advanced Unique Mechs/chassis/chassisdef_albatross_ALB-MC.json,Description.Details,"The Mariner's Curse is piloted by Taylor Pendleton and serviced by his brother Samuel. The brothers are the proteges of Sir Coleridge, a former Knight of the Inner Sphere who was killed in an exhibition match by a pilot in the service of Iron Sea Acquisitions (a merchant company with a fondness for funding underground gladiators). When an Iron Sea Executioner-B killed Sir Coleridge, his Albatross was recovered by the Pendleton brothers and the vendetta began. After an extensive rebuild, the Mariner's Curse set out to eliminate Iron Sea's gladiatorial aspirations and eliminate it did. Stealing components from each Iron Sea gladiator defeated (all by cockpit destruction), the Mariner's Curse evolved into a brutal arena design. With Iron Sea defeated and forced out of the arena business, the brothers began traveling between the game worlds, bringing their signature brutal style and the Mariner's Curse with them. Mariner's Curse carries a Clan-tech UAC/20 and two Clan-tech SRM-4s for primary firepower. For backup it carries a pair of exotic Medium Pulse Lasers and a trio of similarly exotic Medium Lasers.","매리너스 커스는 테일러 펜들턴이 조종하고 그의 형제 새뮤얼이 정비합니다. 이 형제는 이너스피어의 전직 기사였던 콜리지 경의 제자들로, 그는 아이언 시 애퀴지션스 소속 파일럿에게 시범 경기에서 살해당했습니다. 아이언 시 애퀴지션스는 지하 검투사 후원을 즐기는 상인 회사입니다. 아이언 시의 익스큐셔너-B가 콜리지 경을 죽였을 때, 그의 알바트로스는 펜들턴 형제가 회수했고 그때부터 복수가 시작됐습니다. 대대적인 재건을 거친 뒤, 매리너스 커스는 아이언 시의 검투 사업 야망을 꺾기 위해 나섰고 실제로 그렇게 해냈습니다. 쓰러뜨린 아이언 시 검투사들 하나하나에게서 부품을 탈취하며(전부 콕핏 파괴로 처치했습니다), 매리너스 커스는 잔혹한 아레나 설계로 진화했습니다. 아이언 시를 격파하고 아레나 사업에서 몰아낸 뒤, 형제는 게임 월드들 사이를 떠돌기 시작했고 자신들의 상징적인 잔혹한 스타일과 매리너스 커스를 함께 들고 다녔습니다. 매리너스 커스의 주화력은 클랜제 UAC/20 한 문과 클랜제 SRM-4 두 기입니다. 보조 무장으로는 이국적인 미디엄 펄스 레이저 한 쌍과 마찬가지로 이국적인 미디엄 레이저 세 문을 탑재하고 있습니다."
BT Advanced Unique Mechs/chassis/chassisdef_ambassador_MBSDR-RST.json,Description.Details,"The Ambassador is not a combat design and never was. Still, when First Lord of the Star League Michael Cameron set out for diplomatic talks, he wanted to be certain he was armed in case it all went wrong and so he ordered his technicians to ensure his Ambassador, the Rising Star of Terra, was never without weaponry. The technicians, given the endless resources of the first Star League, went far and above in their task. The Rising Star of Terra is equipped with all the finest Ambassador trimmings as well as a powerful 165-rated XL engine, which allows it to carry a battery of Haywire Medium and Small Lasers, ensuring that should the First Lord encounter danger he could disable it before making a safe getaway. Now, somehow, the Rising Star of Terra has found its way into the gameworld's arenas where the lasers continue to prove their great worth.","앰베서더는 전투용 설계가 아니며, 애초에 그런 적도 없었습니다. 하지만 스타 리그의 퍼스트 로드 마이클 캐머런이 외교 회담에 나설 때는, 모든 일이 잘못될 경우를 대비해 무장해 두길 원했고, 그래서 자신의 앰베서더인 라이징 스타 오브 테라에 무장이 빠지지 않도록 기술진에게 지시했습니다. 끝없는 초대 스타 리그의 자원을 부여받은 기술진은 그 임무를 훨씬 뛰어넘는 수준으로 해냈습니다. 라이징 스타 오브 테라는 앰베서더 특유의 최고급 장식 일체는 물론, 강력한 165등급 XL 엔진까지 갖추고 있으며, 그 덕분에 헤이와이어 미디엄 레이저와 스몰 레이저를 한 벌 운용할 수 있어, 퍼스트 로드가 위험에 맞닥뜨릴 경우 안전하게 이탈하기 전에 위협을 무력화할 수 있도록 해 줍니다. 그리고 이제 어떻게 된 영문인지, 라이징 스타 오브 테라는 게임월드의 아레나에까지 흘러들어왔고, 그 레이저들은 계속해서 뛰어난 가치를 입증하고 있습니다."
BT Advanced Unique Mechs/chassis/chassisdef_anubis_ABS-TZ.json,Description.Details,"Born from a desire to make a mech as aggravating as possible to interact with, the Taz is an e-war nightmare. Armed with a relatively paltry quartet of Magshot Gauss Rifles and a trio of advanced and disruptive Medium Lasers, the Taz's arena success comes from the extremely expensive and fragile Chameleon Light Polarization Shield it carries, for maximum effectiveness. Taz wins not by killing the opponent but by frustrating them into quitting the field.","가능한 한 상대하기 짜증나는 메크를 만들겠다는 발상에서 태어난 타즈는 전자전의 악몽입니다. 비교적 빈약한 4문의 맥샷 가우스 라이플과 3문의 첨단 교란형 미디엄 레이저로 무장했지만, 타즈가 아레나에서 성공을 거두는 이유는 최대 효과를 위해 탑재한 극도로 비싸고 취약한 카멜레온 라이트 편광 실드에 있습니다. 타즈는 상대를 죽여서가 아니라, 끝없이 짜증 나게 만들어 전장을 포기하게 함으로써 승리합니다."
BT Advanced Unique Mechs/chassis/chassisdef_anvil_ANV-3MJJ.json,Description.Details,"This Anvil has been slightly modified from the stock design by the mercenary company Johann's Jaegers. Piloted by the pilot Grigori 'Brick' Izzo, this Anvil has seen heavy combat during the FedCom Civil War and has carried its pilot through thick and thin. Now, it comes to your hands. Drive it well, Commander.","이 앤빌은 용병 부대 요한의 예거스가 기본 설계에서 약간 개조한 기체입니다. 멕워리어 그리고리 '브릭' 이초가 탑승한 이 앤빌은 항성 연방 내전 동안 치열한 전투를 겪으며, 어떤 상황에서도 그 조종사를 끝까지 지켜냈습니다. 이제 이 기체는 사령관님의 손에 들어왔습니다. 잘 운용해 주십시오, 사령관님."
BT Advanced Unique Mechs/chassis/chassisdef_apollo_APL-WR.json,Description.Details,"Like the other ultralight designs of the time, the Apollo eventually made its way to the arenas of the gameworld Solaris VII. There, it found a niche for itself as one of the most popular 'Mechs on the ultralight dueling circuit. Among the Apollos that excelled in the arenas was this one, the White Rabbit. Built using a Small Cockpit, a 120-rated XL engine for speed, and an Endo-Steel frame for weight-savings, the White Rabbit carries a trio of powerful Medium X-Pulse Lasers, more than enough to slice apart any other ultralight it faces in the arenas.","당시의 다른 초경량 설계들과 마찬가지로, 아폴로는 결국 게임월드 솔라리스 VII의 아레나에도 모습을 드러냈습니다. 그곳에서 이 기체는 초경량 결투 서킷에서 가장 인기 있는 ’메크 중 하나로 자리 잡았습니다. 아레나에서 뛰어난 성과를 보인 아폴로들 가운데 하나가 바로 이 화이트 래빗입니다. 스몰 콕핏, 속도를 위한 120등급 XL 엔진, 그리고 중량 절감을 위한 엔도 스틸 프레임을 사용해 제작된 화이트 래빗은 강력한 미디엄 X-펄스 레이저 3문을 탑재하고 있으며, 이는 아레나에서 맞서는 다른 어떤 초경량 기체라도 산산이 베어 버리기에 충분하고도 남습니다."
BT Advanced Unique Mechs/chassis/chassisdef_archangel_C-ANG-BROADSWORD.json,Description.Details,"While the standard Archangel is already mysterious, this one, the so-called Broadsword, is even more so. Rumor has it that the pilot is an ex-member of the Word of Blake who stole away with the 'Mech and came to Solaris VII to make their fortune. The Broadsword is armed with a trio of powerful Snub-Nose PPCs to smash opponents to pieces as well as paired SRM-6s for extra punch. Of course, the design's name comes from the Retractable Blade in the left arm, which can easily slice apart anything that Broadsword can catch (a task made easier thanks to a Supercharger).","표준 아크엔젤도 이미 수수께끼에 싸여 있지만, 이 기체, 이른바 브로드소드는 그보다도 더욱 그렇습니다. 소문에 따르면 파일럿은 워드 오브 블레이크의 전 멤버로, ’메크를 훔쳐 달아난 뒤 솔라리스 VII에 와서 한몫 잡으려 했다고 합니다. 브로드소드는 강력한 스너브 노즈 PPC 세 문으로 상대를 산산조각 내며, 추가 화력을 위해 SRM-6 한 쌍도 장비하고 있습니다. 물론 이 설계의 이름은 왼팔에 달린 리트랙터블 블레이드에서 따온 것으로, 브로드소드가 붙잡기만 하면 무엇이든 손쉽게 베어버릴 수 있습니다(슈퍼차저 덕분에 그 일도 더 쉬워집니다)."
BT Advanced Unique Mechs/chassis/chassisdef_arcticcheetah_ACH-SH.json,Description.Details,"A customized variant of the Arctic Cheetah once piloted by Eva Hordwon of Clan Ice Hellion, the Shard carries two ER Medium Lasers in each arm, supported by twin Heavy Machine Guns in the right torso and a left torso-mounted Streak SRM-4. A single ton of Streak missiles and a ton and a half of HMG ammo give the Shard good endurance.","한때 클랜 아이스 헬리온의 에바 호드원가 탑승했던 아크틱 치타의 커스텀 파생형인 샤드는 양팔에 ER 미디엄 레이저를 각각 두 문씩 장비하고 있으며, 우측 몸통의 쌍중 헤비 머신건과 좌측 몸통 장착식 스트릭 SRM-4의 지원을 받습니다. 스트릭 미사일 1톤과 HMG 탄약 1.5톤을 탑재해, 샤드는 우수한 지속 전투 능력을 갖추고 있습니다."
BT Advanced Unique Mechs/chassis/chassisdef_arcticwolf_ACW-BK.json,Description.Details,"A customized variant of the standard Arctic Wolf, the Blood Kit carries an ER Large and ER Medium Laser each arm, supported by a Heavy Machine Gun in each side torso and a center torso mounted Streak SRM-6 launcher. The Blood Kit carries an extra double sink and single ton of ammunition for each weapon type.","표준 아틱 울프의 맞춤형 개수 기체인 블러드 킷은 양팔에 ER 라지 레이저와 ER 미디엄 레이저를 각각 1문씩 장비하고, 양측 몸통의 헤비 머신건과 중앙 몸통 장착형 스트릭 SRM-6 발사기의 지원을 받습니다. 블러드 킷은 각 무장 유형마다 더블 히트 싱크 1기와 탄약 1톤을 추가로 탑재합니다."
BT Advanced Unique Mechs/chassis/chassisdef_argus_AGS-DF.json,Description.Details,"This gladiator got its name from the fans as the original owner called it something else entirely. However, they understood the power of good publicity and decided to give in to the fans on this one and rechristened the 'Mech with its new name, Dance Floor, named for the light shows it puts on in the arenas. Armed with a trio of exotic Large Pulse Lasers as well as two Medium X-Pulse Lasers, Dance Floor never fails to put on a great show for the viewers. The rest of the design is depressingly mundane: Inner Sphere XL Engine, Endo-Steel, Ferro-Fibrous, and Double Heat Sinks.","이 검투 메크는 원래 소유주가 전혀 다른 이름으로 불렀지만, 팬들이 붙여 준 이름으로 알려지게 되었습니다. 하지만 그들도 좋은 홍보의 힘은 이해하고 있었기에, 이번만큼은 팬들의 뜻을 받아들여 이 ’메크에 새로운 이름인 댄스 플로어를 붙였습니다. 이 이름은 경기장에서 선보이는 현란한 광쇼에서 따온 것입니다. 이국적인 대형 펄스 레이저 3문과 미디엄 X-펄스 레이저 2문으로 무장한 댄스 플로어는 관중들에게 멋진 쇼를 선보이는 데 한 번도 실패한 적이 없습니다. 나머지 설계는 우울할 정도로 평범합니다. 이너스피어 XL 엔진, 엔도 스틸, 페로-파이브러스, 그리고 더블 히트 싱크입니다."
