File,Key,Value,Translation
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmL.json,Description.Details,"[[DM.BaseDescriptionDefs[TBoneLoreDoc],Doc Cobble]] summons you to the medbay, where [[SCN_MW,{SCN_MW.Callsign}]] is laying on a bed.


""Commander, {SCN_MW.Callsign}'s rehabilitation is coming along, but with the advanced facilities aboard the <i>Argo</i>, we can certainly speed things up, <i>if</i> we want to pay the price. The newer prosthetics have almost no acclimatization time but we'll need a hefty chunk of change to get those pukes at [[DM.BaseDescriptionDefs[LoreNAIS],New Avalon]] to send us the specs.""


""What do you think?""

 <b><color=#e51717>THIS EVENT REMOVES THE DEBILITATED CONDITION, IT DOES NOT IMMEDIATELY REMOVE THEIR INJURIES. WITHOUT THIS PROSTHETIC THE PILOT CANNOT BE FIELDED.</color></b>","[[DM.BaseDescriptionDefs[TBoneLoreDoc],닥터 코블]]이 당신을 의무실로 호출합니다. 그곳에는 [[SCN_MW,{SCN_MW.Callsign}]]이 침대에 누워 있습니다.


""사령관님, {SCN_MW.Callsign}의 재활은 순조롭게 진행되고 있습니다. 하지만 <i>아르고</i>에 있는 첨단 시설을 활용하면, 그 대가를 지불할 의향만 있다면 분명히 속도를 높일 수 있습니다. 최신 보철물은 적응 시간이 거의 없지만, [[DM.BaseDescriptionDefs[LoreNAIS],뉴 아발론]]의 그 망할 놈들이 사양서를 보내주게 하려면 상당한 돈이 필요할 겁니다.""


""어떻게 생각하십니까?""

 <b><color=#e51717>이 이벤트는 쇠약 상태를 제거하지만, 부상을 즉시 제거하지는 않습니다. 이 보철물이 없으면 해당 파일럿은 출전시킬 수 없습니다.</color></b>"
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmL.json,Options[0].Description.Details,Refused.,거절
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmL.json,Options[0].ResultSets[0].Description.Details,"""Sorry Doc, we just can't spare the cash for it right now. Carry on with your normal rehabilitation.""","""죄송합니다, 닥터. 지금은 그 비용을 감당할 여유가 없습니다. 일반 재활 절차를 계속 진행하십시오."""
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmL.json,Options[1].Description.Details,Buy the replacement.,대체품을 구매합니다.
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmL.json,Options[1].ResultSets[0].Description.Details,"""This company is a family. Whatever we need to do to keep us going, we'll do it. Transfer payment to [[DM.BaseDescriptionDefs[LoreNAIS],NAIS]] immediately.""


[[SCN_MW,{SCN_MW.Callsign}]] is no longer debilitated and may be deployed.","""이 중대는 가족입니다. 우리가 계속 나아가기 위해 해야 할 일이 있다면, 무엇이든 할 겁니다. [[DM.BaseDescriptionDefs[LoreNAIS],NAIS]]에 즉시 대금을 이체하십시오.""


[[SCN_MW,{SCN_MW.Callsign}]]은 더 이상 쇠약 상태가 아니며 배치할 수 있습니다."
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmR.json,Description.Details,"[[DM.BaseDescriptionDefs[TBoneLoreDoc],Doc Cobble]] summons you to the medbay, where [[SCN_MW,{SCN_MW.Callsign}]] is laying on a bed.


""Commander, {SCN_MW.Callsign}'s rehabilitation is coming along, but with the advanced facilities aboard the <i>Argo</i>, we can certainly speed things up, <i>if</i> we want to pay the price. The newer prosthetics have almost no acclimatization time but we'll need a hefty chunk of change to get those pukes at [[DM.BaseDescriptionDefs[LoreNAIS],New Avalon]] to send us the specs.""


""What do you think?""

 <b><color=#e51717>THIS EVENT REMOVES THE DEBILITATED CONDITION, IT DOES NOT IMMEDIATELY REMOVE THEIR INJURIES. WITHOUT THIS PROSTHETIC THE PILOT CANNOT BE FIELDED.</color></b>","[[DM.BaseDescriptionDefs[TBoneLoreDoc],닥터 코블]]이 당신을 의무실로 호출합니다. 그곳에는 [[SCN_MW,{SCN_MW.Callsign}]]이 침대에 누워 있습니다.


""사령관님, {SCN_MW.Callsign}의 재활은 순조롭게 진행되고 있습니다. 하지만 <i>아르고</i>에 있는 첨단 시설을 활용하면, 그 대가를 지불할 의향만 있다면 분명히 속도를 높일 수 있습니다. 최신 보철물은 적응 시간이 거의 없지만, [[DM.BaseDescriptionDefs[LoreNAIS],뉴 아발론]]의 그 망할 놈들이 사양서를 보내주게 하려면 상당한 돈이 필요할 겁니다.""


""어떻게 생각하십니까?""

 <b><color=#e51717>이 이벤트는 쇠약 상태를 제거하지만, 부상을 즉시 제거하지는 않습니다. 이 보철물이 없으면 해당 파일럿은 출전시킬 수 없습니다.</color></b>"
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmR.json,Options[0].Description.Details,Refused.,거절
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmR.json,Options[0].ResultSets[0].Description.Details,"""Sorry Doc, we just can't spare the cash for it right now. Carry on with your normal rehabilitation.""","""죄송합니다, 닥터. 지금은 그 비용을 감당할 여유가 없습니다. 일반 재활 절차를 계속 진행하십시오."""
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmR.json,Options[1].Description.Details,Buy the replacement.,대체품을 구매합니다.
TisButAScratch/events/tbone_event_co_DEBILITATED_ArmR.json,Options[1].ResultSets[0].Description.Details,"""This company is a family. Whatever we need to do to keep us going, we'll do it. Transfer payment to [[DM.BaseDescriptionDefs[LoreNAIS],NAIS]] immediately.""


[[SCN_MW,{SCN_MW.Callsign}]] is no longer debilitated and may be deployed.","""이 중대는 가족입니다. 우리가 계속 나아가기 위해 해야 할 일이 있다면, 무엇이든 할 겁니다. [[DM.BaseDescriptionDefs[LoreNAIS],NAIS]]에 즉시 대금을 이체하십시오.""


[[SCN_MW,{SCN_MW.Callsign}]]은 더 이상 쇠약 상태가 아니며 배치할 수 있습니다."
