File,Key,Value,Translation
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[0].dialogueContent[0].words,"Commander, the target location is likely to be well-defended.","사령관님, 목표 지점은 방어가 철저할 가능성이 높습니다."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[0].dialogueContent[1].words,"We need to move up, get eyes on the location, and neutralize any enemy forces.","전진해서 해당 위치를 확인하고, 모든 적 병력을 무력화하십시오."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[0].dialogueContent[2].words,"Once we've secured our pilot, the Leopard will extract us at this LZ.","파일럿을 확보하면, 레오파드가 이 LZ에서 저희를 철수시킬 것입니다."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[0].dialogueContent[3].words,"Best of luck, Commander. Oliveira out.","행운을 빕니다, 사령관님. 올리베이라, 이상입니다."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[1].dialogueContent[0].words,"The asset has been recovered, Commander. Let's dust off and collect our pay.","자산은 회수되었습니다, 사령관님. 먼지를 털고 보수를 받으러 가시죠."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[2].dialogueContent[0].words,"This went south in a hurry. I'm scrubbing the mission, Commander.","상황이 순식간에 꼬였습니다. 사령관님, 임무를 중단하겠습니다."
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[3].dialogueContent[0].words,Hold this location until our people can grab the asset.,우리 쪽 사람들이 자산을 확보할 수 있을 때까지 이 위치를 사수하십시오.
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[4].dialogueContent[0].words,"[GENERIC VO] The asset is sustaining damage, Commander!","[GENERIC VO] 목표물이 피해를 입고 있습니다, 사령관님!"
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[5].dialogueContent[0].words,"[GENERIC VO] The secondary asset is sustaining damage, Commander!","[GENERIC VO] 보조 자산이 피해를 입고 있습니다, 사령관님!"
SearchAndRescue/SAR_Contracts/Rescue_SAR_AssetRetrieval_Easy.json,dialogueList[6].dialogueContent[0].words,"[GENERIC VO] The asset has been recovered, Commander. Good work. ","[GENERIC VO] 목표물은 회수되었습니다, 사령관님. 잘하셨습니다."
