File,Key,Value,Translation
Community Content/ammo/Ammunition_3G_ER.json,Description.Details,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",성형작약 탄두를 통해 근거리에서 큰 피해를 줄 수 있는 단거리 미사일.
Community Content/ammo/Ammunition_3G_HE.json,Description.Details,"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.",성형작약 탄두로 근거리에서 막대한 피해를 가할 수 있는 단거리 미사일.
Community Content/ammo/Ammunition_3G_STD.json,Description.Details,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.","장거리 미사일로, 장거리에서 중간 수준의 피해를 줄 수 있습니다. 각각의 미사일은 위력이 부족하지만, 한꺼번에 명중하면 상당한 피해를 줄 수 있습니다."
Community Content/ammo/Ammunition_GC20.json,Description.Details,Gauss Cannon/20 Ammo,가우스 캐논/20 탄약
Community Content/ammo/Ammunition_GC20_AP.json,Description.Details,Gauss Cannon/20 Ammo,가우스 캐논/20 탄약
Community Content/ammo/Ammunition_GC20_Incendiary.json,Description.Details,Gauss Cannon/20 Ammo,가우스 캐논/20 탄약
Community Content/ammo/Ammunition_HVAC10_Phosphor.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","헤비 피해를 가할 수 있는 대구경 탄환으로, AC/10에 사용되도록 설계되었습니다."
Community Content/ammo/Ammunition_HVAC10_SubSonic.json,Description.Details,"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.","막대한 피해를 줄 수 있는 대구경 탄환으로, AC/10에 사용되도록 설계되었습니다."
Community Content/ammo/Ammunition_HVAC5_Phosphor.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
Community Content/ammo/Ammunition_HVAC5_SubSonic.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
Community Content/ammo/Ammunition_LRM_ThunderInfernoAugmented.json,Description.Details,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.","장거리 미사일로, 장거리에서 중간 수준의 피해를 줄 수 있습니다. 각각의 미사일은 위력이 부족하지만, 한꺼번에 명중하면 상당한 피해를 줄 수 있습니다."
Community Content/ammo/Ammunition_LRM_ThunderInfernoAugmented.json,MineField.statusEffects[0].Description.Details,High energy residue reduces heat efficiency by 10%.,고에너지 잔류물로 인해 열 효율이 10% 감소합니다.
Community Content/ammo/Ammunition_LRM_ThunderStab.json,Description.Details,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.","장거리 미사일로, 장거리에서 중간 수준의 피해를 줄 수 있습니다. 각각의 미사일은 위력이 부족하지만, 한꺼번에 명중하면 상당한 피해를 줄 수 있습니다."
Community Content/ammo/Ammunition_Mortar_Glue.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
Community Content/ammo/Ammunition_Mortar_Glue.json,statusEffects[0].Description.Details,"This unit is coated with sticky glue, slowing its movement speed by 20%.",이 유닛은 끈적한 접착제로 뒤덮여 이동 속도가 20% 감소합니다.
Community Content/ammo/Ammunition_Mortar_Glue.json,statusEffects[1].Description.Details,High energy residue reduces heat efficiency by 5%.,고에너지 잔류물로 인해 열 효율이 5% 감소합니다.
Community Content/ammo/Ammunition_Mortar_Shock.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
Community Content/ammo/Ammunition_Mortar_Shock.json,statusEffects[0].Description.Details,"This unit has been blasted by a shock mortar, delaying this unit's initiative by 1.","이 유닛은 쇼크 모타의 직격을 받아, 이 유닛의 이니셔티브가 1만큼 지연되었습니다."
Community Content/ammo/Ammunition_Railgun.json,Description.Details,GAUSS Ammo,가우스 탄약
Community Content/ammo/Ammunition_ULTIMA_CANISTERSHOT.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2의 장거리 사격용으로 설계된 소구경 탄약입니다.
Community Content/ammo/Ammunition_ULTIMA_GRAPESHOT.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2의 장거리 사격용으로 설계된 소구경 탄약.
Community Content/ammo/Ammunition_ULTIMA_ROUNDSHOT.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/2.,AC/2의 장거리 사격용으로 설계된 소구경 탄약입니다.
Community Content/ammobox/Ammo_AmmunitionBox_AP_GC20.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b> Has 5 shots.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","탄약 상자에는 투사체 기반 무기에 필요한 탄환이 들어 있으며, 무기 종류별로 최소 하나의 상자가 필요합니다. <b><color=#099ff2>폭발하지 않습니다.</color></b> 5발이 들어 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_ER_3GM.json,Description.Details,"Extreme Range 3rd Gen. Missile Ammo utilizes more advanced flight computers and stabilizer to drastically increase their range. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","익스트림 레인지 3세대 미사일 탄약은 더욱 발전된 비행 컴퓨터와 안정 장치를 사용해 사거리를 대폭 증가시킵니다. 치명타를 받으면 탄약 상자 내부에 남아 있는 탄약이 폭발하여 장착 부위에 피해를 입힙니다. 이 위험은 C.A.S.E.를 사용하면 완화할 수 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_Generic_3GM.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","탄약 상자에는 투사체 기반 무기에 필요한 탄약이 들어 있으며, 무기 종류마다 최소 하나의 상자가 필요합니다. 치명타를 받으면 탄약 상자 내부에 남아 있는 탄약이 폭발하여 장착 부위에 피해를 줍니다. C.A.S.E.를 사용하면 이 위험을 줄일 수 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_Generic_GC20.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b> Has 5 shots.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","탄약 상자에는 발사체 기반 무기에 필요한 탄이 들어 있으며, 무기 종류마다 최소 하나의 상자가 필요합니다. <b><color=#099ff2>폭발하지 않습니다.</color></b> 5발이 들어 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_Generic_RAILGUN.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","탄약 상자에는 투사체 기반 무기에 필요한 탄약이 들어 있으며, 무기 유형마다 최소 하나의 상자가 필요합니다. <b><color=#099ff2>폭발하지 않습니다.</color></b>

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_Glue_Mortar.json,Description.Details,"Mortar shells deliver a small Explosive payload, able to damage several units on impact. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. Has 40 shots.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","모르타르 포탄은 소형 폭발성 탄두를 투사하며, 착탄 시 여러 유닛에 피해를 줄 수 있습니다. 치명타를 받으면 탄약 상자 내부에 남아 있는 탄약이 폭발하여 장착 위치에 피해를 줍니다. 이 위험은 C.A.S.E.를 사용해 줄일 수 있습니다. 40발이 들어 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_HE_3GM.json,Description.Details,"High Explosive 3rd Gen. Missile ammo carries a larger payload in exchange for fuel. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","고폭 3세대 미사일 탄약은 연료를 희생하는 대신 더 큰 탄두를 탑재합니다. 치명타를 받으면 탄약 상자 안에 남아 있는 모든 탄약이 폭발하여 장착 위치에 피해를 줍니다. 이 위험은 C.A.S.E.를 사용해 완화할 수 있습니다.

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
Community Content/ammobox/Ammo_AmmunitionBox_HVAC_AC10_Phosphor.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>

 <b><color=#e51717>COMMUNITY CONTENT</color></b>","탄약 상자에는 투사체 기반 무기에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 한 개의 상자가 필요합니다. 치명타를 받으면 탄약 상자 내부에 남아 있는 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 줄일 수 있습니다. 

 <b><color=#00ffff>전투 중 탄약 수를 왼쪽 클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>

 <b><color=#e51717>커뮤니티 콘텐츠</color></b>"
