File,Key,Value,Translation
BT Advanced Sanctuary Worlds Equipment/abilities/AbilityDef_Sanctuary_Ping.json,Description.Details,"ACTION: Perform a Sensor Lock on all enemies within 350 meters, and generates 35 Heat for the user. There is a 5 round cooldown and Ends your Turn.","행동: 350미터 이내의 모든 적에게 센서 록을 수행하고, 사용자에게 열 35를 발생시킵니다. 재사용 대기시간은 5라운드이며 턴을 종료합니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_APM_Generic.json,Description.Details,"Alt payload missiles, capable of dealing heavy damage at close range via shaped charge warheads.",성형작약 탄두를 통해 근거리에서 막대한 피해를 줄 수 있는 대체 탄두 미사일입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Bombard_Acid.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Bombard_Acid.json,statusEffects[0].Description.Details,This unit is coated with corrosive acid. It will take [AMT] increased damage (max 0.2).,이 유닛은 부식성 산으로 뒤덮여 있습니다. [AMT]만큼 피해를 추가로 받습니다(최대 0.2).
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Bombard_Generic.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Bombard_Inferno.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Bombard_Shaped.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_DBAC10.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_DBAC15.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_DBAC20.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_DBAC5.json,Description.Details,"Moderate caliber rounds, suitable for long range fire in an AC/5.",AC/5에서 장거리 사격에 사용하기 적합한 중구경 탄환입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_DRM.json,Description.Details,"Variable Range Missiles, starting out weak but dealing increasing damage as they travel.","가변 사거리 미사일로, 처음에는 위력이 약하지만 비행할수록 피해가 증가합니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_GATLING.json,Description.Details,Large bore belted ammunition for 'Mech-mounted machine guns.,’메크 장착 기관총용 대구경 벨트식 탄약.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_HDRIVER.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/4.,AC/4의 장거리 사격용으로 설계된 소구경 탄약입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_LDRIVER.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/4.,AC/4에서 장거리 사격을 위해 설계된 소구경 탄약.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_MDRIVER.json,Description.Details,Small caliber ammunition designed for long range fire in an AC/4.,AC/4의 장거리 사격용으로 설계된 소구경 탄약입니다.
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_MMS.json,Description.Details,"Variable Range Missiles, starting out weak but dealing increasing damage as they travel.","가변 사거리 미사일, 시작할 때는 위력이 약하지만 비행할수록 피해가 증가합니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_SG10.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_SG15.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_SG20.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_SG5.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Sirocco.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Sirocco_Inferno.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_Sirocco_Shaped.json,Description.Details,"Massive rounds, designed for devastating impact, to be used in an AC/20.","AC/20에 사용하도록 설계된, 파괴적인 충격을 위한 대형 탄환입니다."
BT Advanced Sanctuary Worlds Equipment/ammunition/Ammunition_VRM.json,Description.Details,"Variable Range Missiles, starting out weak but dealing increasing damage as they travel.","가변 사거리 미사일, 처음에는 위력이 약하지만 비행할수록 피해가 증가합니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Acid_Bombard.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Doublebarrel_AC10.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Doublebarrel_AC15.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Doublebarrel_AC20.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Doublebarrel_AC5.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_APM.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_Bombard.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM.json,statusEffects[0].Description.Details,The unit's walking and running speed is reduced by [AMT].,이 유닛의 보행 및 주행 속도가 [AMT]만큼 감소합니다.
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM.json,statusEffects[1].Description.Details,The Mech's Movement is reduced.,메크의 이동력이 감소했습니다.
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM.json,statusEffects[2].Description.Details,The mech's heat generation has been impaired by [AMT].,이 메크의 열 생성이 [AMT]만큼 손상되었습니다.
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM_half.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of SHIELD.","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. SHIELD를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM_half.json,statusEffects[0].Description.Details,The unit's walking and running speed is reduced by [AMT].,해당 유닛의 보행 및 주행 속도가 [AMT]만큼 감소합니다.
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM_half.json,statusEffects[1].Description.Details,The Mech's Movement is reduced.,메크의 이동력이 감소합니다.
BT Advanced Sanctuary Worlds Equipment/ammunitionbox/Ammo_AmmunitionBox_Generic_DRM_half.json,statusEffects[2].Description.Details,The mech's heat generation has been impaired by [AMT].,이 메크의 열 생성이 [AMT]만큼 손상되었습니다.
