File,Key,Value,Translation
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_ER_ATM.json,Description.Details,"Extreme Range ATM Ammo utilizes more advanced flight computers and stabilizer to drastically increase their range. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>","초장거리 ATM 탄약은 더 발전된 비행 컴퓨터와 안정장치를 활용하여 사거리를 대폭 증가시킵니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다.

 <b><color=#00ffff>전투 중 탄약 수를 좌클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>"
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Generic_APGAUSS.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. <b><color=#099ff2>폭발하지 않습니다.</color></b>

 <b><color=#00ffff>전투 중 탄약 수를 좌클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>"
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Generic_ATM.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>","탄약 상자에는 투사체 기반 무장에 필요한 탄환이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다.

 <b><color=#00ffff>전투 중 탄약 수를 좌클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>"
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Generic_PAC2.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.","탄약 상자에는 투사체 기반 무장에 필요한 탄약이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있는 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Generic_PAC4.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.","탄약 상자에는 투사체 기반 무장에 필요한 탄약이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있는 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Generic_PAC8.json,Description.Details,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.","탄약 상자에는 투사체 기반 무장에 필요한 탄약이 들어 있으며, 무기 유형마다 최소 하나의 탄약 상자가 필요합니다. 치명타를 받으면 탄약 상자 안에 남아 있는 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다."
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_HE_ATM.json,Description.Details,"High Explosive ATM ammo carries a larger payload in exchange for fuel. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>","고폭 ATM 탄약은 연료를 희생하는 대신 더 큰 탄두를 탑재합니다. 치명타를 받으면 탄약 상자 안에 남아 있던 탄약이 폭발하여 장착 위치에 피해를 줍니다. C.A.S.E.를 사용하면 위험을 완화할 수 있습니다.

 <b><color=#00ffff>전투 중 탄약 수를 좌클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>"
BT Advanced Clan Gear/ammobox/Ammo_AmmunitionBox_Hyper_GAUSS.json,Description.Details,"Hyper Assault Gauss Rifles fire a multitude of Small Caliber Gauss slugs akin to a Rotary AutoCannon, shredding its target. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>","하이퍼 어썰트 가우스 라이플은 로터리 오토캐논과 비슷하게 다수의 소구경 가우스 탄자를 발사하여 대상을 갈가리 찢습니다. <b><color=#099ff2>폭발하지 않습니다.</color></b>

 <b><color=#00ffff>전투 중 탄약 수를 좌클릭하면 탄약 유형을 교체합니다. 탄약 카운터를 Ctrl+클릭하면 탄약을 배출합니다.</color> </b>"
BT Advanced Clan Gear/ammunition/Ammunition_APGAUSS.json,Description.Details,null,null
BT Advanced Clan Gear/ammunition/Ammunition_ATM.json,Description.Details,"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.","장거리 미사일로, 장거리에서 중간 수준의 피해를 줄 수 있습니다. 각각의 미사일은 위력이 부족하지만, 한꺼번에 명중하면 상당한 피해를 줄 수 있습니다."
