File,Key,Value,Translation
MechEngineer/Settings.help.json,CustomCapacities.CarryWeight.Description.Details,"Carry weight represents the total carry capacity of a 'Mech on top of the normal chassis weight internal capacity. Each hand actuator allows to carry an equivalent of up to 5% chassis maximum tonnage. If a melee weapon is too heavy for a single arm, it can be held two-handed by combining both hands carry capacities.","운반 중량은 일반적인 섀시 중량과 내부 수용량에 더해, '메크가 추가로 운반할 수 있는 총 용량을 나타냅니다. 각 손 액추에이터는 섀시 최대 톤수의 최대 5%에 해당하는 중량을 운반할 수 있게 합니다. 근접 무기가 한쪽 팔로 들기에는 너무 무거운 경우, 양손의 운반 용량을 합쳐 양손으로 들 수 있습니다."
MechEngineer/Settings.help.json,CustomCapacities.HeatSink.Description.Details,"A 'Mechs engine requires at least 10 heat sinks, which are usually provided by the engine itself. Engine cores with a rating lower than 250 need supplementary heat sinks installed elsewhere on the 'Mech.","'메크의 엔진에는 최소 10개의 히트 싱크가 필요하며, 이는 보통 엔진 자체에서 제공됩니다. 등급이 250 미만인 엔진 코어는 '메크의 다른 위치에 보조 히트 싱크를 설치해야 합니다."
MechEngineer/Settings.help.json,CustomCapacities.HeatSinkEngineAdditional.Description.Details,"If a 'Mechs engine rating is at or above 275, additional heat sinks can directly be installed within the engine without using up criticals on the 'Mech.","'메크의 엔진 등급이 275 이상이면, 추가 히트 싱크를 '메크의 크리티컬 슬롯을 차지하지 않고 엔진 내부에 직접 설치할 수 있습니다."
MechEngineer/Settings.json,CustomCapacities.CarryWeight.Description.Details,"Carry weight represents the total carry capacity of a 'Mech on top of the normal chassis weight internal capacity. Each hand actuator allows to carry an equivalent of up to 5% chassis maximum tonnage. If a melee weapon is too heavy for a single arm, it can be held two-handed by combining both hands carry capacities.","운반 중량은 일반적인 섀시 중량과 내부 수용량에 더해, '메크가 추가로 운반할 수 있는 총 용량을 나타냅니다. 각 손 액추에이터는 섀시 최대 톤수의 최대 5%에 해당하는 중량을 운반할 수 있게 합니다. 근접 무기가 한쪽 팔로 들기에는 너무 무거운 경우, 양손의 운반 용량을 합쳐 양손으로 들 수 있습니다."
MechEngineer/Settings.json,CustomCapacities.HeatSink.Description.Details,"A 'Mechs engine requires at least 10 heat sinks, which are usually provided by the engine itself. Engine cores with a rating lower than 250 need supplementary heat sinks installed elsewhere on the 'Mech.","'메크의 엔진에는 최소 10개의 히트 싱크가 필요하며, 이는 보통 엔진 자체에서 제공됩니다. 등급이 250 미만인 엔진 코어는 '메크의 다른 위치에 보조 히트 싱크를 설치해야 합니다."
MechEngineer/Settings.json,CustomCapacities.HeatSinkEngineAdditional.Description.Details,"If a 'Mechs engine rating is at or above 275, additional heat sinks can directly be installed within the engine without using up criticals on the 'Mech.","'메크의 엔진 등급이 275 이상이면, 추가 히트 싱크를 '메크의 크리티컬 슬롯을 차지하지 않고 엔진 내부에 직접 설치할 수 있습니다."
MechEngineer/Settings.last.json,CustomCapacities.CarryWeight.Description.Details,"Carry weight represents the total carry capacity of a 'Mech on top of the normal chassis weight internal capacity. Each hand actuator allows to carry an equivalent of up to 5% chassis maximum tonnage. If a melee weapon is too heavy for a single arm, it can be held two-handed by combining both hands carry capacities.","운반 중량은 일반적인 섀시 중량과 내부 수용량에 더해, '메크가 추가로 운반할 수 있는 총 용량을 나타냅니다. 각 손 액추에이터는 섀시 최대 톤수의 최대 5%에 해당하는 중량을 운반할 수 있게 합니다. 근접 무기가 한쪽 팔로 들기에는 너무 무거운 경우, 양손의 운반 용량을 합쳐 양손으로 들 수 있습니다."
MechEngineer/Settings.last.json,CustomCapacities.HeatSink.Description.Details,"A 'Mechs engine requires at least 10 heat sinks, which are usually provided by the engine itself. Engine cores with a rating lower than 250 need supplementary heat sinks installed elsewhere on the 'Mech.","'메크의 엔진에는 최소 10개의 히트 싱크가 필요하며, 이는 보통 엔진 자체에서 제공됩니다. 등급이 250 미만인 엔진 코어는 '메크의 다른 위치에 보조 히트 싱크를 설치해야 합니다."
MechEngineer/Settings.last.json,CustomCapacities.HeatSinkEngineAdditional.Description.Details,"If a 'Mechs engine rating is at or above 275, additional heat sinks can directly be installed within the engine without using up criticals on the 'Mech.","'메크의 엔진 등급이 275 이상이면, 추가 히트 싱크를 '메크의 크리티컬 슬롯을 차지하지 않고 엔진 내부에 직접 설치할 수 있습니다."
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceDurability.json,Details,The relative firepower of a 'Mech over long distances.,장거리에서 '메크의 상대 화력입니다.
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceFirepower.json,Details,"Various statistics for close range combat. That includes weapons capable of firing below 90 m, melee with support weapons firing, and death from above (DFA) numbers.","근거리 전투에 대한 다양한 통계입니다. 여기에는 90m 미만에서 사격 가능한 무장, 지원 무기를 발사하며 수행하는 근접 공격, 그리고 죽음의 강하 공격(DFA) 수치가 포함됩니다."
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceHeat.json,Details,"The relative heat efficiency of a 'Mech is determined by its total ability to sink Heat, compared to the total Heat generated each round by its weapons.",'메크의 상대 열 효율은 매 라운드 무장이 생성하는 총 열량과 비교한 전체 열 배출 능력으로 결정됩니다.
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceMelee.json,Details,The relative durability of a 'Mech is determined by totaling the Armor for all its locations.,'메크의 상대 내구도는 모든 위치의 장갑을 합산하여 결정됩니다.
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceRange.json,Details,The relative movement capability of a 'Mech is determined by totaling its movement speed.,'메크의 상대 이동 능력은 이동 속도를 합산하여 결정됩니다.
MechEngineer/StreamingAssets/data/descriptions/MechData/TooltipMechPerformanceSpeed.json,Details,The relative firepower over medium distances of a 'Mech is determined by totaling the possible damage of all its weapons.,중거리에서 '메크의 상대 화력은 모든 무장의 가능한 피해량을 합산하여 결정됩니다.
