File,Key,Value,Translation
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Annihilator_StabilizedAim.json,Description.Details,This piece of gear represents the Annihilator's inherent Stabilized Aim quirk. This gives the Annihilator bonus hit chance with torso-mounted Inner Sphere-spec AC/10s and LB-10Xs as well as Clan-spec Ultra AC/10s.,이 장비는 애나이얼레이터의 고유 특성인 안정화 조준을 나타냅니다. 이것은 애나이얼레이터에게 몸통 장착형 이너스피어 규격 AC/10 및 LB-10X와 클랜 규격 울트라 AC/10에 대한 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Annihilator_StabilizedAim.json,Description.Name,Annihilator Stabilized Aim,어나일레이터 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Avatar_StabilizedAim.json,Description.Details,This piece of gear represents the Avatar's inherent Stabilized Aim quirk. This gives the Avatar bonus hit chance with its CT Medium Lasers.,이 장비는 아바타의 고유 특성인 안정화 조준을 나타냅니다. 이로 인해 아바타는 CT 미디엄 레이저의 명중 확률 보너스를 받습니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Avatar_StabilizedAim.json,Description.Name,Avatar Stabilized Aim,아바타 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Bombard_StabilizedAim.json,Description.Details,This piece of gear represents the Bombard's inherent Stabilized Aim quirk. This gives the Bombard bonus hit chance with torso-mounted Inner Sphere-spec AC/20s and Gauss Rifles.,이 장비 부품은 봄바드의 고유 특성인 안정화 조준을 나타냅니다. 이는 봄바드에 몸통 장착 이너스피어 사양 AC/20과 가우스 라이플 사용 시 명중률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Bombard_StabilizedAim.json,Description.Name,Bombard Stabilized Aim,봄바드 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Daboku_StabilizedAim.json,Description.Details,This piece of gear represents the Daboku's inherent Stabilized Aim quirk. This gives the Daboku bonus hit chance with torso-mounted Inner Sphere-spec standard AC/2s.,이 장비는 다보쿠의 고유 특성인 안정화 조준을 나타냅니다. 이는 다보쿠에 동체 장착 이너스피어 규격 표준 AC/2의 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Daboku_StabilizedAim.json,Description.Name,Daboku Stabilized Aim,다보쿠 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Emperor_CoolingJacket.json,Description.Details,This piece of gear represents the Emperor's inherent Improved Cooling Jacket quirk. This gives the Emperor reduced heat generation when using Inner Sphere standard Large Lasers.,이 장비는 엠페러의 고유 특성인 개량형 냉각 재킷 특성을 나타냅니다. 이는 이너스피어 표준 라지 레이저를 사용할 때 엠페러의 열 발생을 감소시켜 줍니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Emperor_CoolingJacket.json,Description.Name,Emperor Improved Cooling Jacket Large Laser,엠퍼러 개량형 냉각 재킷 라지 레이저
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Enforcer_CoolingJacket.json,Description.Details,"This piece of gear represents the Enforcer's inherent Improved Cooling Jacket quirk. This gives the Enforcer reduced heat generation when using Inner Sphere 10-class Autocannons (including the AC/10, AC/10 Prototype, UAC/10, HVAC/10, and LBX AC/10).","이 장비는 인포서의 고유 특성인 개선형 쿨링 재킷을 나타냅니다. 이는 인포서가 이너스피어 10급 오토캐논(AC/10, AC/10 프로토타입, UAC/10, HVAC/10, LBX AC/10 포함)을 사용할 때 발열이 감소하는 효과를 부여합니다."
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Enforcer_CoolingJacket.json,Description.Name,Enforcer Improved Cooling Jacket AC/10,인포서 개선형 냉각 재킷 AC/10
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Fafnir_StabilizedAim.json,Description.Details,"This piece of gear represents the Fafnir's inherent Stabilized Aim quirk. This gives the Fafnir bonus hit chance with torso-mounted Inner Sphere-spec Gauss Rifles, Heavy Gauss Rifles, and Improved Heavy Gauss Rifles.","이 장비는 파프니르의 고유 특성인 안정화 조준을 나타냅니다. 이로 인해 파프니르는 몸통 장착형 이너스피어 규격 가우스 라이플, 헤비 가우스 라이플, 그리고 개량형 헤비 가우스 라이플 사용 시 명중 확률 보너스를 받습니다."
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Fafnir_StabilizedAim.json,Description.Name,Fafnir Stabilized Aim,파프니르 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Helepolis_StabilizedAim.json,Description.Details,This piece of gear represents the Helepolis's inherent Stabilized Aim quirk. This gives the Helepolis bonus hit chance with arm-mounted Sniper Cannons and grants arm-mounted Sniper Artillery Pieces an AoE debuff effect.,"이 장비는 헬레폴리스의 고유 특성인 Stabilized Aim 기벽을 나타냅니다. 이는 헬레폴리스에 팔 장착형 스나이퍼 캐논의 명중 확률 보너스를 부여하고, 팔 장착형 스나이퍼 아틸러리 피스에 광역 약화 효과를 부여합니다."
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Helepolis_StabilizedAim.json,Description.Name,Helepolis Stabilized Aim,헬레폴리스 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Hollander_StabilizedAim.json,Description.Details,This piece of gear represents the Hollander's inherent Stabilized Aim quirk. This gives the Hollander bonus hit chance with RT-mounted Inner Sphere-spec Gauss Rifles and Heavy Gauss Rifles.,이 장비는 홀랜더의 고유 특성인 안정화 조준을 나타냅니다. 이는 홀랜더에게 RT 장착 이너스피어 규격 가우스 라이플 및 헤비 가우스 라이플의 명중 확률 보너스를 제공합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Hollander_StabilizedAim.json,Description.Name,Hollander Stabilized Aim,홀랜더 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Legacy_StabilizedAim.json,Description.Details,This piece of gear represents the Legacy's inherent Stabilized Aim quirk. This gives the Legacy bonus hit chance with torso-mounted Inner Sphere-spec Ultra AC/10s.,이 장비는 레거시의 고유한 안정화 조준 특성을 나타냅니다. 이로 인해 레거시는 몸통 장착 이너스피어 규격 울트라 AC/10으로 추가 명중 확률 보너스를 받습니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Legacy_StabilizedAim.json,Description.Name,Legacy Stabilized Aim,레거시 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Mauler_StabilizedAim.json,Description.Details,This piece of gear represents the Mauler's inherent Stabilized Aim quirk. This gives the Mauler bonus hit chance with torso-mounted Inner Sphere-spec standard AC/2s.,이 장비는 몰러의 고유한 Stabilized Aim 특성을 나타냅니다. 이는 몰러의 몸통 장착 이너스피어 규격 표준 AC/2에 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Mauler_StabilizedAim.json,Description.Name,Mauler Stabilized Aim,몰러 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_MercuryII_StabilizedAim.json,Description.Details,This piece of gear represents the Mercury II's inherent Stabilized Aim quirk. This gives the Mercury II bonus hit chance with its CT Medium Laser.,이 장비는 머큐리 II의 고유 특성인 안정화 조준을 나타냅니다. 이것은 머큐리 II의 CT 미디엄 레이저에 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_MercuryII_StabilizedAim.json,Description.Name,Mercury II Stabilized Aim,머큐리 II 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Mongoose_StabilizedAim.json,Description.Details,This piece of gear represents the Mongoose's inherent Stabilized Aim quirk. This gives the Mongoose bonus hit chance with its CT Medium Laser.,이 장비는 몽구스의 고유한 Stabilized Aim 특성을 나타냅니다. 이는 몽구스의 CT 미디엄 레이저에 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Mongoose_StabilizedAim.json,Description.Name,Mongoose Stabilized Aim,몽구스 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Pulverizer_AccurateWeapon.json,Description.Details,"This piece of gear represents the Pulverizer's inherent Accurate Weapon quirk. This gives the Pulverizer bonus hit chance when using ER PPCs, Enhanced ER PPCs, and Clan-spec ER PPCs.","이 장비는 펄버라이저의 고유한 정확 무기 특성을 나타냅니다. 이는 펄버라이저가 ER PPC, 강화형 ER PPC, 그리고 클랜 사양 ER PPC를 사용할 때 명중 확률 보너스를 부여합니다."
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Pulverizer_AccurateWeapon.json,Description.Name,Pulverizer Accurate Weapon ER PPC,펄버라이저 정확한 무기 ER PPC
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_RisingStar_StabilizedAim.json,Description.Details,This piece of gear represents the Rising Star's inherent Stabilized Aim quirk. This gives the Rising Star bonus hit chance with torso-mounted Inner Sphere-spec standard AC/10s.,이 장비는 라이징 스타의 고유 특성인 안정화 조준 특성을 나타냅니다. 이는 라이징 스타에 몸통 장착형 이너스피어 규격 표준 AC/10 사용 시 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_RisingStar_StabilizedAim.json,Description.Name,Rising Star Stabilized Aim,라이징 스타 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Stag_StabilizedAim.json,Description.Details,This piece of gear represents the Stag's inherent Stabilized Aim quirk. This gives the Stag bonus hit chance with its RA ER Large Laser.,이 장비 부품은 스태그 고유의 안정화 조준 특성을 나타냅니다. 이는 스태그의 RA ER 라지 레이저에 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Stag_StabilizedAim.json,Description.Name,Stag Stabilized Aim,스태그 안정화 조준
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Vanquisher_StabilizedAim.json,Description.Details,This piece of gear represents the Vanquisher's inherent Stabilized Aim quirk. This gives the Vanquisher bonus hit chance with arm-mounted Light Gauss Rifles.,이 장비는 밴퀴셔의 고유 특성인 안정화 조준 기벽을 나타냅니다. 이는 밴퀴셔에게 팔 장착형 라이트 가우스 라이플 사용 시 명중 확률 보너스를 부여합니다.
BT Advanced Mech Quirks/attachment/Gear_Attachment_Quirk_Vanquisher_StabilizedAim.json,Description.Name,Vanquisher Stabilized Aim,밴퀴셔 안정화 조준
BT Advanced Mech Quirks/jumpjet/Gear_JumpJet_Ambassador_Ultralight.json,Description.Details,"The Ambassador was made with the best technology the Star League could invent in order to ensure that the diplomatic figure driving the 'Mech was as protected and comfortable as possible. Among the technology invented for the Ambassador was this jump jet, a unique design for ultralight BattleMechs that has massively increased jumping power at the cost of more heat during the jump. Due to the fine tuning required for this jump jet's power, it cannot be removed from the Ambassador.","앰베서더는 스타 리그가 만들어낼 수 있었던 최고의 기술로 제작되었으며, 그 목적은 그 메크를 조종하는 외교 인물을 가능한 한 안전하고 편안하게 보호하는 것이었습니다. 앰베서더를 위해 발명된 기술 가운데에는 이 점프 제트도 있었는데, 초경량 배틀메크를 위한 독특한 설계로, 점프 중 더 많은 열이 발생하는 대가로 점프 성능을 대폭 향상시켰습니다. 이 점프 제트의 출력에 필요한 정밀 조정 때문에, 이것은 앰베서더에서 제거할 수 없습니다."
BT Advanced Mech Quirks/jumpjet/Gear_JumpJet_Ambassador_Ultralight.json,Description.Name,Ambassador Jump Jet (UL),앰베서더 점프 제트 (UL)
BT Advanced Mech Quirks/jumpjet/Gear_JumpJet_Ambassador_Ultralight.json,statusEffects[0].Description.Details,This Jump Jets Heat Generation per Hex,헥스당 점프젯 열 생성량
BT Advanced Mech Quirks/jumpjet/Gear_JumpJet_Ambassador_Ultralight.json,statusEffects[1].Description.Details,Max Jump Jet Amount per Walk MP,보행 MP당 최대 점프젯 수량
