File,Key,Value,Translation
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,contractName,Gunslinger Program,건슬링어 프로그램
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,contractObjectiveList[0].title,Defeat the Gunslinger,건슬링어 격파
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[0].dialogueContent[0].words,"It's just one Gunslinger but these guys are highly trained and very skilled, be careful.","상대는 건슬링어 한 명뿐이지만, 이들은 고도로 훈련된 베테랑들입니다. 각별히 주의하십시오."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[1].dialogueContent[0].words,"Great show, Commander, the ComGuard adepts are already pouring over the data from the duel as we speak.","훌륭한 경기였습니다, 사령관님. 컴가드 숙련병들이 지금 이 순간에도 결투 데이터를 분석하고 있습니다."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,dialogueList[2].dialogueContent[0].words,"Even a loss is still a win for us since we still get paid at the end of the program and the data is still good for ComStar's training program. Don't sweat this loss too hard, Commander.","패배하더라도 우리에겐 여전히 이득입니다. 프로그램 종료 시 보수는 지급되고, 이 데이터 역시 컴스타 훈련 프로그램에 충분히 가치가 있습니다. 이번 패배를 너무 마음에 두지 마십시오, 사령관님."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,longDescription,"Get 'em, Commander.","놈들을 처리하십시오, 사령관님."
WarTechIIC/contracts/SoloDuel_GunslingerProgram.json,shortDescription,"This is what we're here for, Commander. Remember, ComStar is providing the 'Mechs for all participants, we just need to provide a  pilot. Now, get in there and show this ComStar MechWarrior what it means to be a Gunslinger!","우리가 바로 이런 일을 위해 여기 있는 겁니다, 사령관님. 기억하십시오, 컴스타가 모든 참가자에게 멕을 제공하니 우리는 조종사만 투입하면 됩니다. 자, 들어가서 컴스타 멕워리어에게 진정한 건슬링어가 무엇인지 보여 주십시오!"
WarTechIIC/contracts/wiic_facility_defence.json,contractName,Facility Defence,시설 방어
WarTechIIC/contracts/wiic_facility_defence.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. This one is probably going to be fairly busy, with limited downtime between deployments. The representative also mentioned a possible revenge strike towards the end of the contract, so be ready to go on the attack.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 이번 임무는 상당히 바쁘게 돌아갈 가능성이 높고, 배치 사이에 휴식 시간이 거의 없을 겁니다. 또한 계약 말미에 보복 타격이 있을 수 있다고 하니 공격 작전에 대비해 주십시오."
WarTechIIC/contracts/wiic_facility_defence.json,shortDescription,"We have a contract from {TEAM_EMP.FactionDef.Name} - they would like to hire us to help defend their facilities on {TGT_SYSTEM.name} over the coming weeks. According to reports, {TEAM_TAR.FactionDef.Demonym} forces are planning to attack their facilities on-planet and their own defending forces are stretched too thin to cover all their facilities planetside, so they need us to fill in the gaps.

This is an extended contract, will last 14 days, and will prevent us from taking other contracts for the duration.","{TEAM_EMP.FactionDef.Name} 측으로부터 계약 제안이 들어왔습니다. 향후 몇 주 동안 {TGT_SYSTEM.name}에 있는 그들의 시설 방어를 도와달라는 요청입니다. 보고에 따르면 {TEAM_TAR.FactionDef.Demonym} 세력이 행성 내 시설들을 공격할 계획이며, 기존 방어 병력만으로는 모든 시설을 감당하기 어려워 우리에게 공백을 메워 달라고 합니다.

이 계약은 장기 계약으로 14일간 지속되며, 그 기간 동안 다른 계약은 수락할 수 없습니다."
WarTechIIC/contracts/wiic_field_testing.json,contractName,Field Testing,현장 시험
WarTechIIC/contracts/wiic_field_testing.json,longDescription,"If we accept this contract we'll be in for the duration, Commander. It'll be relatively brief and they'll be providing the testing 'Mechs but we have to ensure we keep the testing 'Mechs alive and gather as much good data as we can.","이 계약을 수락하시면 계약 기간 동안 계속 참여하게 됩니다, 사령관님. 비교적 짧은 일정이며 시험용 멕은 그들이 제공하지만, 우리는 해당 멕을 생존시킨 채 최대한 많은 양질의 데이터를 수집해야 합니다."
