File,Key,Value,Translation
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-1A.json,YangsThoughts,"Originally developed in the final year of the Amaris Civil War as the ultimate fixed position city defense BattleMech, the Annihilator was built as a sign of the military strength of the Star League in Exile. The -1A was armed with four Autocannon/10s and four Medium Lasers. While less accurate than the original -2A, the 1A was still a highly destructive and dangerous 'Mech that no MechWarrior looked forward to engaging.","아마리스 내전의 마지막 해에 궁극의 고정 진지 시가 방어용 배틀메크로 처음 개발된 애나이얼레이터는, 망명한 스타 리그의 군사력을 과시하는 상징으로 제작되었습니다. -1A형은 오토캐논/10 네 문과 미디엄 레이저 네 문으로 무장하고 있었습니다. 원형인 -2A보다 정확도는 떨어졌지만, 1A는 여전히 어떤 멕워리어도 상대하고 싶어 하지 않는, 극도로 파괴적이고 위험한 메크였습니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-1A4.json,YangsThoughts,"A theorized variant of the Annihilator that never surfaced before the mech's extinction, the designs for the -1A4 was rediscovered by the Capellans in a lost Star League trove. Since they redeveloped the Arrow IV system, it was only natural that they deployed its greatest form, the ANH-1A4. Armed with a pair of Arrow IV systems with six tons of ammo between them, the -1A4 takes the Annihilator's siege role to the next level. For backup weaponry, the -1A4 carries a trio of Large Pulse Lasers.","메크가 사라지기 전에는 한 번도 모습을 드러내지 않았던 애니힐레이터의 이론상 변형 기종으로, -1A4의 설계는 카펠란이 잃어버린 스타 리그 저장고에서 재발견하였습니다. 그들이 애로우 IV 시스템을 재개발한 이상, 그 최강 형태인 ANH-1A4를 배치한 것은 지극히 당연한 일이었습니다. 두 기의 애로우 IV 시스템과 그 사이에 배정된 6톤의 탄약으로 무장한 -1A4는 애니힐레이터의 공성 역할을 한 단계 더 끌어올립니다. 보조 무장으로는 -1A4가 라지 펄스 레이저 3문을 탑재합니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-1E.json,YangsThoughts,"Still a fearsome and powerful design, where the original Annihilator-1A carries a bevy of powerful autocannons, the -1E instead opts for an all-energy weapon loadout. Four Particle Projection Cannons give the Annihilator-1E a brutal and incredibly powerful punch while the Medium Lasers from the -1A are carried over for in-close protection while increasing the armor protection somewhat to mitigate enemy return fire.","여전히 두렵고 강력한 설계인 이 기체는, 원래 애나이얼레이터-1A가 강력한 오토캐논을 다수 탑재한 것과 달리, -1E는 대신 전 에너지 무장 구성을 채택했습니다. 네 문의 입자 투사 캐논은 애나이얼레이터-1E에 잔혹하고도 믿기 어려울 만큼 강력한 한 방을 부여하며, -1A의 미디엄 레이저도 근접 방어용으로 그대로 유지되는 한편 적의 반격 사격을 어느 정도 완화할 수 있도록 장갑 방호력도 다소 강화했습니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-1G.json,YangsThoughts,"The Annihilator-1G is a rare variant of the mech from the end of the Amaris Civil War. Armed with a frankly unfair amount of weaponry, the -1G is about as close as you can get to maximum firepower on a mech. The -1G carries an ER PPC and a withering three Gauss Rifles. Powered by a standard 200 rated engine and a standard number of double heat sinks, the Annihilator-1G solves the -1A's range problem handily.",애나이얼레이터-1G는 아마리스 내전 말기에 나온 희귀한 메크 파생형입니다. 솔직히 불공평하다고 할 정도의 무장을 갖춘 -1G는 메크에서 구현할 수 있는 최대 화력에 가장 가까운 기체입니다. -1G는 ER PPC와 숨 돌릴 틈도 주지 않는 가우스 라이플 세 문을 탑재하고 있습니다. 표준 200 등급 엔진과 표준 수의 더블 히트 싱크로 구동되는 애나이얼레이터-1G는 -1A의 사거리 문제를 손쉽게 해결합니다.
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-1X.json,YangsThoughts,"The Annihilator-1X is a rare variant of the mech from the end of the Amaris Civil War. It looks a lot like the later -2A, carrying quad LB-10X Autocannons and a bevy of Medium, Small, and Small Pulse Lasers for backup. Unlike the later -2A though, the -1X is equipped with double heat sinks to let the autocannons sing far longer without heat issues.","애나이얼레이터-1X는 아마리스 내전 말기에 나온 희귀한 메크 변형 기종입니다. 외형은 후기형 -2A와 매우 비슷하며, 4문의 LB-10X 오토캐논과 백업용으로 다수의 미디엄, 스몰, 그리고 스몰 펄스 레이저를 탑재하고 있습니다. 다만 후기형 -2A와는 달리, -1X는 더블 히트 싱크를 장비해 열 문제 없이 오토캐논이 훨씬 더 오래 불을 뿜을 수 있게 해줍니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-2A.json,YangsThoughts,"Originally developed in the final year of the Amaris Civil War as the ultimate fixed position city defense BattleMech, the Annihilator was built as a sign of the military strength of the Star League in Exile. The -2A is the full powered Star League tech version of the Annihilator, armed with four LB 10-X Autocannons and four Medium Pulse Lasers.","아마리스 내전의 마지막 해에 궁극의 고정 진지형 도시 방어용 배틀메크로 처음 개발된 애나이얼레이터는, 망명 스타 리그의 군사력을 보여 주는 상징으로 제작되었습니다. -2A는 애나이얼레이터의 완전 출력 스타 리그 기술 버전으로, 네 문의 LB 10-X 오토캐논과 네 문의 미디엄 펄스 레이저로 무장하고 있습니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-2G.json,YangsThoughts,"Designed by a madman in the Marik military after salvaging an Annihilator from the Wolf's Dragoons, the ANH-2G proved weirdly able on the battlefield. Built on a custom redesigned Endo-Steel frame, the -2G takes a cue from the -1G in its love of Gauss Rifles. However, the -2G has a distinctly Marik twist: it carries 5 Light Gauss Rifles. A ton of ammo per gun gives it respectable, if not incredible, endurance. The greatest drawback to the design is a total lack of backup weaponry.","울프의 드라군에게서 애니힐레이터 한 기를 인양한 뒤, 마릭 군의 한 미치광이가 설계한 ANH-2G는 전장에서 이상하리만치 뛰어난 성능을 입증했습니다. 맞춤형으로 재설계된 엔도 스틸 프레임 위에 제작된 -2G는 가우스 라이플을 사랑하는 점에서 -1G의 영향을 받았습니다. 하지만 -2G에는 분명한 마릭식 변형이 있습니다. 라이트 가우스 라이플 5문을 탑재한 것입니다. 각 포당 탄약 1톤씩을 실어, 대단하다고까지는 못 해도 충분히 괜찮은 지속 전투 능력을 보여드립니다. 이 설계의 가장 큰 단점은 보조 무장이 완전히 없다는 점입니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-3A.json,YangsThoughts,"A mercenary design, the Annihilator ANH-3A is designed for extreme fire support at long range. Armed with a whopping eight Light Autocannon/2s, the -3A can destroy just about anything it can see. For ammo-free firepower, it carries a quartet of ER Medium Lasers. A Targeting Computer provides all the weapons with highly precise weapons fire while a 200-rated compact fusion engine provides enough space for all the weapons, though the 'Mech remains quite slow.","용병 설계인 애나이얼레이터 ANH-3A는 장거리에서 극한의 화력 지원을 하도록 설계되었습니다. 무려 여덟 문의 라이트 오토캐논/2로 무장한 -3A는 시야에 들어오는 거의 모든 것을 파괴할 수 있습니다. 탄약이 필요 없는 화력을 위해 ER 미디엄 레이저 네 문도 탑재하고 있습니다. 타기팅 컴퓨터가 모든 무기에 매우 정밀한 사격을 제공하며, 200등급 컴팩트 퓨전 엔진은 모든 무장을 실을 충분한 공간을 제공하지만, 이 메크는 여전히 꽤 느립니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-JH.json,YangsThoughts,"The Annihilator is an extremely rare 'Mech that is essentially a mobile siege tower. It can kick out more damage than almost any other unit on the field. It's unbelievably slow, though, and poorly armored for its size.","어나이얼레이터는 본질적으로 이동식 공성탑이나 다름없는, 극히 희귀한 '메크입니다. 전장에 있는 거의 어떤 다른 유닛보다도 더 큰 피해를 퍼부을 수 있습니다. 하지만 믿기 어려울 정도로 느리고, 크기에 비해 장갑도 부실합니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH-MB.json,YangsThoughts,"An upgraded Annihilator, possibly based on the ANH-1E, the Mean Baby proved an able and deadly gladiatorial design where enemies could not escape from it. A quartet each of PPCs and Streak SRM-6s provide withering firepower while twin ER Medium Lasers help cover closer range engagements. 16 DHS struggle in vain to keep it all cold while an XL 300-rated engine gives the Mean Baby unexpected speed.","업그레이드된 어나이얼레이터인 미인 베이비는, 아마도 ANH-1E를 기반으로 한 것으로 보이며, 적들이 그로부터 달아날 수 없는 유능하고 치명적인 검투용 설계임이 입증되었습니다. PPC 4문과 스트릭 SRM-6 4기가 압도적인 화력을 제공하고, 쌍열 ER 미디엄 레이저는 더 가까운 거리의 교전을 보조합니다. 16기의 더블 히트 싱크는 이 모든 것을 식히려 헛되이 애쓰고, XL 300급 엔진은 미인 베이비에게 뜻밖의 속도를 부여합니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH_C.json,YangsThoughts,"A variant of the Annihilator that was built using only Clan technology, the Annihilator C increased its maximum speed to 54 kph. The 'Mech was armed with four Ultra Autocannon/10s and four ER Medium Lasers. The Ultra Autocannon/10s allowed the 'Mech to fire at twice the rate of a normal autocannon, allowing it to put as much fire out as if it was carrying eight regular autocannons.","오직 클랜 기술만을 사용해 제작된 애나이얼레이터의 한 변형인 애나이얼레이터 C는 최고 속도를 시속 54킬로미터까지 끌어올렸습니다. 이 ’메크는 울트라 오토캐논/10 네 문과 ER 미디엄 레이저 네 문으로 무장했습니다. 울트라 오토캐논/10은 이 ’메크가 일반 오토캐논의 두 배 속도로 사격할 수 있게 해주었으며, 그 결과 마치 일반 오토캐논 여덟 문을 탑재한 것과 맞먹는 화력을 퍼부을 수 있었습니다."
Heavy Metal Unit Module/chassis/chassisdef_annihilator_ANH_C_GAUSS.json,YangsThoughts,"Built on an Annihilator chassis, this customized variant carried a mammoth five Gauss Rifles, with altogether only eight tons of ammunition. While completely devastating, the mech is slow and comparatively poorly armored. Still, with the withering firepower of the Gauss Rifles, does it matter?","어나일레이터 섀시를 기반으로 제작된 이 개조형은 거대한 가우스 라이플 다섯 문을 탑재했으며, 탄약은 모두 합쳐도 겨우 8톤에 불과했습니다. 완전히 파괴적이기는 하지만, 이 메크는 느리고 장갑도 비교적 빈약합니다. 그래도 가우스 라이플의 압도적인 화력을 생각하면, 그게 중요하겠습니까?"
